practice_id,section,chapter,subtopic,difficulty,question_type,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,priority_tier,raw_score,source_basis
mock_d161f66b9b52,Section A Common Core,Database Concepts,relational algebra selection projection union set difference cartesian product,medium,definition-based,Which relational algebra operation selects specific columns from a relation?,Projection,Selection,Set difference,Union,A,Projection returns chosen attributes/columns.,Tier 1 = CS core,4.9,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_0ee72096439e,Section A Common Core,Database Concepts,candidate primary alternate foreign keys,medium,definition-based,Which key uniquely identifies each record in a relation and cannot contain NULL values?,Foreign key,Primary key,Alternate key,Composite attribute,B,A primary key uniquely identifies each tuple and cannot be NULL.,Tier 1 = CS core,4.65,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_ad221d3dbb05,Section A Common Core,Database Concepts,candidate primary alternate foreign keys,medium,definition-based,A key in one table that refers to the primary key of another table is called a:,Candidate key,Foreign key,Alternate key,Super domain,B,A foreign key creates a reference between two relations.,Tier 1 = CS core,4.65,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_9a8d26bb8bc3,Section A Common Core,Database Concepts,domain tuple relation,easy-medium,definition-based,The set of permitted values for an attribute is called its:,Domain,Tuple,Relation,Cardinality,A,Domain means the valid value range for an attribute.,Tier 2 = high ROI,4.4,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_c3e871eb111f,Section A Common Core,Database Concepts,relational model,easy-medium,definition-based,"In the relational model, one row of a table is called a:",Domain,Attribute,Tuple,Schema,C,A tuple is a row in a relation.,Tier 2 = high ROI,4.4,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_f479e48977fa,Section B1 Computer Science,Data Communication and Security,DoS intrusion snooping eavesdropping,easy-medium,concept-application,A DoS attack mainly tries to:,Improve bandwidth,Make a service unavailable,Create a relation,Serialize an object,B,Denial of Service attacks target availability.,Tier 2 = high ROI,4.25,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_d6855b7721bc,Section B1 Computer Science,Data Communication and Security,bandwidth and data transfer rate,easy-medium,concept-application,Bandwidth is generally related to:,Data carrying capacity,File mode only,Stack top,Median,A,Bandwidth describes capacity/rate of communication.,Tier 2 = high ROI,4.25,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_80d91ddb4470,Section B1 Computer Science,Data Communication and Security,firewall http https,easy-medium,concept-application,A firewall is used to:,Sort records,Filter network traffic,Create primary keys,Convert infix to postfix,B,Firewall filters allowed/blocked traffic.,Tier 2 = high ROI,4.25,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_b6df7331e5c6,Section B1 Computer Science,Data Communication and Security,protocols,easy-medium,concept-application,HTTPS is a secure version of:,FTP,HTTP,SMTP,LAN,B,HTTPS secures HTTP communication.,Tier 2 = high ROI,4.25,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_6164e53d4593,Section A Common Core,Computer Networks,LAN WAN MAN,easy-medium,concept-application,A network limited to a building or campus is generally a:,WAN,LAN,MAN,PAN only,B,LAN covers a local area.,Tier 2 = high ROI,4.1,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_ac0f14936663,Section A Common Core,Computer Networks,MAC and IP address,easy-medium,concept-application,A MAC address is mainly associated with:,Application software,Network interface hardware,SQL table,File extension,B,MAC is a hardware/network interface address.,Tier 2 = high ROI,4.1,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_f641da31c87d,Section A Common Core,Computer Networks,internet vs web,easy-medium,concept-application,The World Wide Web is:,A service using the internet,A type of database key,A local network cable,A sorting algorithm,A,The web is one service that runs on the internet.,Tier 2 = high ROI,4.1,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_08d66f7cfcc0,Section A Common Core,Computer Networks,network devices,easy-medium,concept-application,Which device forwards packets between different networks?,Switch,Router,Repeater,Hub,B,A router connects different networks.,Tier 2 = high ROI,4.1,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_0b3128578f4a,Section A Common Core,Computer Networks,topologies,easy-medium,concept-application,In which topology is every node connected to a central device?,Bus,Ring,Star,Mesh,C,Star topology uses a central hub/switch.,Tier 2 = high ROI,4.1,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_1b9275ad01d2,Section B1 Computer Science,Stack,expression evaluation,easy-medium,dry-run,"In postfix expression `2 3 +`, the result is:",23,5,1,6,B,2 3 + means 2 + 3.,Tier 2 = high ROI,4.05,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_1b9fb11a353a,Section B1 Computer Science,Stack,infix to postfix,easy-medium,dry-run,The postfix form of `A+B` is:,AB+,+AB,A+B,BA+,A,Operator comes after operands in postfix.,Tier 2 = high ROI,4.05,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_1753c1f74561,Section B1 Computer Science,Sorting,insertion sort,easy-medium,dry-run,Insertion sort builds:,A sorted part one element at a time,A network topology,A SQL relation only,A hash collision only,A,Insertion sort inserts each item into the sorted left part.,Tier 2 = high ROI,3.85,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_a32dca8ac362,Section B1 Computer Science,Sorting,selection sort,easy-medium,dry-run,Selection sort repeatedly selects the:,Middle element,Minimum/maximum element for position,Random element,Duplicate key only,B,Selection sort selects the next min/max and places it.,Tier 2 = high ROI,3.85,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_a336414de76f,Section B1 Computer Science,Exception and File Handling in Python,file access modes,easy-medium,definition-based,Which mode opens a file for binary reading?,r,w,rb,ab+,C,rb means read binary.,Tier 2 = high ROI,3.8,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_caa258a6ba72,Section B1 Computer Science,Exception and File Handling in Python,pickle,easy-medium,definition-based,The pickle module is mainly used for:,Sorting lists,Serializing Python objects,Creating SQL tables,Drawing graphs,B,Pickle serializes/deserializes Python objects.,Tier 2 = high ROI,3.8,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_1cc4b61de3e7,Section B1 Computer Science,Exception and File Handling in Python,raise exceptions,easy-medium,definition-based,Which keyword is used to explicitly throw an exception in Python?,throw,raise,except,error,B,Python uses raise.,Tier 2 = high ROI,3.8,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_ec49e35f6cef,Section B1 Computer Science,Exception and File Handling in Python,try except else finally,easy-medium,definition-based,Which block executes whether or not an exception occurs?,try,except,else,finally,D,finally is used for cleanup and always executes if reached.,Tier 2 = high ROI,3.8,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_3684f86eae72,Section B1 Computer Science,Searching,binary search,easy-medium,dry-run,Binary search requires the data to be:,Unsorted,Sorted,Encrypted,Only strings,B,Binary search works on sorted data.,Tier 2 = high ROI,3.75,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_ee3621464bb3,Section B1 Computer Science,Stack,LIFO,easy-medium,dry-run,A stack follows which principle?,FIFO,LIFO,Random access,Round robin,B,Stack is Last In First Out.,Tier 2 = high ROI,3.7,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_58f14fa12ba5,Section B1 Computer Science,Stack,push pop,easy-medium,dry-run,The operation used to insert an element into a stack is:,enqueue,dequeue,push,peek only,C,push inserts into a stack.,Tier 2 = high ROI,3.7,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_f70fb777c0fb,Section B1 Computer Science,Queue,insert delete,easy-medium,dry-run,Insertion in a simple queue is generally performed at:,Front,Rear,Middle,Top,B,Queue insertion is at rear and deletion is at front.,Tier 2 = high ROI,3.65,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_f6ab76554f0e,Section B1 Computer Science,Sorting,bubble sort,easy-medium,dry-run,Bubble sort repeatedly compares:,Adjacent elements,Only first and last elements,Only keys,Only database rows,A,Bubble sort compares adjacent elements and swaps when needed.,Tier 2 = high ROI,3.6,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_b3c6030c3a3a,Section B1 Computer Science,Sorting,hashing,easy-medium,dry-run,"When two keys map to the same hash location, it is called:",Projection,Collision,Iteration,Serialization,B,Hash collision means two keys share a hash slot.,Tier 2 = high ROI,3.6,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_7af6d1e18dcc,Section B1 Computer Science,Queue,FIFO,easy,dry-run,A queue follows which principle?,LIFO,FIFO,Divide and conquer,Hashing only,B,Queue is First In First Out.,Tier 3 = practice after core,3.4,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_41a16f8befd9,Section B1 Computer Science,Searching,sequential search,easy,dry-run,Worst-case time complexity of linear search is:,O(1),O(log n),O(n),O(n log n),C,Linear search may check every item.,Tier 3 = practice after core,3.4,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_e4e1b2af9985,Section B1 Computer Science,Understanding Data,mean median,easy,definition-based,The median is:,The most frequent value,The middle value after sorting,The sum of all values,The range of values,B,Median is the middle value in sorted data.,Tier 4 = revise selectively,2.8,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
mock_924a4050d59d,Section B1 Computer Science,Understanding Data,standard deviation variance,easy,definition-based,Variance measures:,Spread of data,Primary key count,Network speed only,Queue length only,A,Variance measures dispersion/spread.,Tier 4 = revise selectively,2.8,"CUET CS syllabus priority + imported paper structure; synthetic practice, not exact PYQ."
