chapter,subtopic,priority_tier,raw_score,source_weighted_frequency,recency_score,question_count,roi,top_pattern,top_micro_concept,difficulty,study_hours_required,recommended_action,data_status,score_basis,section_list,unit_list,concept_type
Database Concepts,relational algebra selection projection union set difference cartesian product,Tier 1 = CS core,4.9,0,0,0,0,SQL output / query identification,relational algebra selection projection union set difference cartesian product,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,query-practice
Structured Query Language I,MySQL database creation,Tier 1 = CS core,4.7,0,0,0,0,SQL output / query identification,MySQL database creation,easy,1.5,"Practice query outputs, clauses, joins, functions, and error traps.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,query-practice
Structured Query Language I,SQL advantages,Tier 1 = CS core,4.7,0,0,0,0,SQL output / query identification,SQL advantages,easy,1.5,"Practice query outputs, clauses, joins, functions, and error traps.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,query-practice
Structured Query Language I,data types,Tier 1 = CS core,4.7,0,0,0,0,definition-based,data types,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,definition-feature
Structured Query Language I,math functions,Tier 1 = CS core,4.7,0,0,0,0,SQL output / query identification,math functions,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,query-practice
Database Concepts,candidate primary alternate foreign keys,Tier 1 = CS core,4.65,0,0,0,0,definition-based,candidate primary alternate foreign keys,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,definition-feature
Database Concepts,database vs file system,Tier 2 = high ROI,4.4,0,0,0,0,definition-based,database vs file system,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,definition-feature
Database Concepts,domain tuple relation,Tier 2 = high ROI,4.4,0,0,0,0,definition-based,domain tuple relation,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,definition-feature
Database Concepts,relational model,Tier 2 = high ROI,4.4,0,0,0,0,definition-based,relational model,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,definition-feature
Data Communication and Security,DoS intrusion snooping eavesdropping,Tier 2 = high ROI,4.25,0,0,0,0,definition + application,DoS intrusion snooping eavesdropping,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,concept-application
Data Communication and Security,bandwidth and data transfer rate,Tier 2 = high ROI,4.25,0,0,0,0,definition + application,bandwidth and data transfer rate,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,concept-application
Data Communication and Security,firewall http https,Tier 2 = high ROI,4.25,0,0,0,0,definition + application,firewall http https,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,concept-application
Data Communication and Security,protocols,Tier 2 = high ROI,4.25,0,0,0,0,definition + application,protocols,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,concept-application
Computer Networks,LAN WAN MAN,Tier 2 = high ROI,4.1,0,0,0,0,definition + application,LAN WAN MAN,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,concept-application
Computer Networks,MAC and IP address,Tier 2 = high ROI,4.1,0,0,0,0,definition + application,MAC and IP address,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,concept-application
Computer Networks,internet vs web,Tier 2 = high ROI,4.1,0,0,0,0,definition + application,internet vs web,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,concept-application
Computer Networks,network devices,Tier 2 = high ROI,4.1,0,0,0,0,definition + application,network devices,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,concept-application
Computer Networks,network evolution,Tier 2 = high ROI,4.1,0,0,0,0,definition + application,network evolution,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,concept-application
Computer Networks,topologies,Tier 2 = high ROI,4.1,0,0,0,0,definition + application,topologies,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section A,Common Core,concept-application
Stack,expression evaluation,Tier 2 = high ROI,4.05,0,0,0,0,dry-run / output tracing,expression evaluation,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Stack,infix to postfix,Tier 2 = high ROI,4.05,0,0,0,0,dry-run / output tracing,infix to postfix,medium,2.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Stack,prefix infix postfix,Tier 2 = high ROI,4.05,0,0,0,0,dry-run / output tracing,prefix infix postfix,medium,2.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Data Communication and Security,communication types,Tier 2 = high ROI,4.0,0,0,0,0,definition + application,communication types,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,concept-application
Data Communication and Security,switching techniques,Tier 2 = high ROI,4.0,0,0,0,0,definition + application,switching techniques,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,concept-application
Data Communication and Security,viruses worms trojan spam cookies adware,Tier 2 = high ROI,4.0,0,0,0,0,definition + application,viruses worms trojan spam cookies adware,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,concept-application
Data Communication and Security,wired media,Tier 2 = high ROI,4.0,0,0,0,0,definition + application,wired media,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,concept-application
Data Communication and Security,wireless media,Tier 2 = high ROI,4.0,0,0,0,0,definition + application,wireless media,easy,1.5,"Revise definitions, devices, protocols, threats, and one-line differences.",cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,concept-application
Sorting,collision resolution,Tier 2 = high ROI,3.95,0,0,0,0,dry-run / output tracing,collision resolution,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Sorting,dry run,Tier 2 = high ROI,3.95,0,0,0,0,dry-run / output tracing,dry run,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Sorting,insertion sort,Tier 2 = high ROI,3.85,0,0,0,0,dry-run / output tracing,insertion sort,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Sorting,selection sort,Tier 2 = high ROI,3.85,0,0,0,0,SQL output / query identification,selection sort,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,query-practice
Exception and File Handling in Python,file access modes,Tier 2 = high ROI,3.8,0,0,0,0,dry-run / output tracing,file access modes,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Exception and File Handling in Python,pickle,Tier 2 = high ROI,3.8,0,0,0,0,dry-run / output tracing,pickle,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Exception and File Handling in Python,raise exceptions,Tier 2 = high ROI,3.8,0,0,0,0,dry-run / output tracing,raise exceptions,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Exception and File Handling in Python,syntax errors and exceptions,Tier 2 = high ROI,3.8,0,0,0,0,dry-run / output tracing,syntax errors and exceptions,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Exception and File Handling in Python,text and binary files,Tier 2 = high ROI,3.8,0,0,0,0,dry-run / output tracing,text and binary files,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Exception and File Handling in Python,try except else finally,Tier 2 = high ROI,3.8,0,0,0,0,dry-run / output tracing,try except else finally,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Exception and File Handling in Python,user-defined exceptions,Tier 2 = high ROI,3.8,0,0,0,0,dry-run / output tracing,user-defined exceptions,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Searching,binary search,Tier 2 = high ROI,3.75,0,0,0,0,dry-run / output tracing,binary search,medium,2.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Stack,LIFO,Tier 2 = high ROI,3.7,0,0,0,0,dry-run / output tracing,LIFO,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Stack,list implementation,Tier 2 = high ROI,3.7,0,0,0,0,dry-run / output tracing,list implementation,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Stack,push pop,Tier 2 = high ROI,3.7,0,0,0,0,dry-run / output tracing,push pop,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Queue,insert delete,Tier 2 = high ROI,3.65,0,0,0,0,dry-run / output tracing,insert delete,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Sorting,bubble sort,Tier 2 = high ROI,3.6,0,0,0,0,dry-run / output tracing,bubble sort,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Sorting,hashing,Tier 2 = high ROI,3.6,0,0,0,0,dry-run / output tracing,hashing,medium,2.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Queue,FIFO,Tier 3 = practice after core,3.4,0,0,0,0,dry-run / output tracing,FIFO,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Queue,deque,Tier 3 = practice after core,3.4,0,0,0,0,dry-run / output tracing,deque,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Queue,list implementation,Tier 3 = practice after core,3.4,0,0,0,0,dry-run / output tracing,list implementation,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Searching,best worst average case,Tier 3 = practice after core,3.4,0,0,0,0,dry-run / output tracing,best worst average case,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Searching,python implementation,Tier 3 = practice after core,3.4,0,0,0,0,dry-run / output tracing,python implementation,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Searching,sequential search,Tier 3 = practice after core,3.4,0,0,0,0,dry-run / output tracing,sequential search,easy,1.5,Do dry runs by hand and memorize operation order and edge cases.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,algorithm-dry-run
Understanding Data,data collection,Tier 4 = revise selectively,2.8,0,0,0,0,definition-based,data collection,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,definition-feature
Understanding Data,data interpretation,Tier 4 = revise selectively,2.8,0,0,0,0,definition-based,data interpretation,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,definition-feature
Understanding Data,mean median,Tier 4 = revise selectively,2.8,0,0,0,0,definition-based,mean median,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,definition-feature
Understanding Data,standard deviation variance,Tier 4 = revise selectively,2.8,0,0,0,0,definition-based,standard deviation variance,easy,1.5,Revise from syllabus and add PYQs before trusting frequency.,cs_syllabus_heuristic_no_pyq_frequency_yet,"Official syllabus Section A + Section B1, weighted by CS exam centrality; not historical frequency.",Section B1,Computer Science,definition-feature
