canonical_question_id,duplicate_group_size,years,sources,source_urls,question_text
cq_000772_4643d5116f,2,2025,"AfterBoards CUET Business Studies PYQs linked file, Dubuddy CUET Business Studies solved papers linked file",https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf | https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-13,"Arrange the following steps of the planning process adopted by XYZ Ltd. in the correct sequence.

(A) XYZ Ltd. has decided to increase their sales by 20% in the financial year 2025-26.
(B) After carefully considering the alternatives, they have decided to try selling their products through e-commerce websites.
(C) After registering with the e-commerce websites, the plan will become operational.
(D) XYZ Ltd. has identified three options: increase in price, use of social media influencers for promotion and selling through e-commerce websites.

Choose the correct answer from the options given below:"
cq_000542_3d4694089e,2,2025,AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-10 | https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-9,"Arrange the process of recruitment in a correct sequence:

(A) Assessment of their validity

(B) Identification of the different sources of labour

(C) Inviting applications from the prospective candidates for the vacancies

(D) Choosing the most suitable source or sources

Choose the correct answer from the options given below:"
cq_000568_225a195b16,2,2025,AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-13 | https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-9,Analyse the statements given below and identify which of the following is not the role of Consumer Organisations and NGOs?
cq_000087_b33981fefc,2,2024,AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2024/slot-1,Match List-I with List-II on the basis of Management Principles
cq_000544_40faf25f0c,2,2025,AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-14 | https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-9,Which function of management involves communicating effectively as well as supervising employees at work?
cq_000364_fbaa81be59,2,2025,AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-14 | https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-5,$32
cq_000689_020e7172c6,2,2025,AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-12,"Arrange the following in the correct sequence of controlling process.

(A) Measurement of Actual Performance against Standards and their Comparison

(B) Establishment of Goals and Standards

(C) Corrective Action

(D) Using Critical Point Control and Management by Exception while analyzing the deviations

Choose the correct answer from the options given below:"
cq_000054_539947ac7d,2,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.48
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after
the launch, the sales were not meeting expectations, and employee morale
seemed low.
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any conflicts"
cq_001065_3d1b9fe1c8,2,2025,AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-19 | https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20,"Identify the correct sequence of staffing process.
(A) Training & development
(B) Recruitment & selection
(C) Estimating the manpower requirements
(D) Placement & orientation
Choose the correct answer from the options given below:"
cq_001140_14b6a2d7f0,2,2023,AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-1 | https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-2,"Arrange the steps of Controlling process in a logical sequence.

A. Measurement of Actual performance
B. Setting performance standards
C. Taking Corrective action
D. Comparison of actual performance with standards
E. Analysing deviations

Choose the correct answer from the options given below:"
cq_001276_53c1632181,2,2023,AfterBoards CUET Business Studies PYQs linked file,https://www.afterboards.in/past-year-questions/cuet-business-studies/2023/slot-3,The tool used by Team 1 is _______
cq_001719_7add7bf264,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.10
The components of the Economic Environment are:"
cq_001720_404e71e7cc,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,"Q.14
Which of the following is not an element of directing function of
management?"
cq_001721_2e5e064fb5,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,"Q.6
Match List-I with List-II
List-I
List-II
Principles
Statement"
cq_001722_f0efcbf232,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.12
Arrange the activities of the recruitment process in a proper sequence."
cq_001723_44b69b6dc8,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.28
Which of the following principles emphasizes that subordinates should
report to one and only one superior?"
cq_001724_7d9ef96920,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.24
Identify which is not a feature of a business environment, from the options
given below."
cq_001725_e7bc226813,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.40
List-I
List-II (Explanation)
Four Ps
of
marketin
g"
cq_001726_aea0a80f70,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.25
Which among the following refers to the increase in profit earned by the
equity shareholders due to the presence of fixed financial charges?"
cq_001727_5295baa5ae,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,"Q.15
Who emphasized that there should be complete harmony between the
management and the workers?"
cq_001728_6eaa7e0d8c,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.17
Match List-I with List-II
List-I (Types of
products)
List-II (Examples)"
cq_001729_d3d5d5592b,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,"Q.14
Which of the following statements are correct?"
cq_001730_73607cae8d,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,"Q.33
Which of the following does not highlight the importance of controlling?"
cq_000019_2bb51e82ab,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,"Q.27 Match List-I with List-II
 
 
List-I
List-II"
cq_000020_7e2280c163,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,"Q.26
List-I
List-II
Features of
Business
Environment
Example"
cq_000021_ea573fd24d,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.49
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineering, financial ser"
cq_000022_ab6d49d2f5,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.36
The concept of marketing is based on the pillars arranged in the following
sequence:"
cq_000023_0acad7b1fa,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.8
Which of the following roles is performed by middle-level management?"
cq_000024_1e53e71d22,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.12
Which among the following aims at smooth operations by focusing on fund
requirements and their availability in the light of financial decisions?"
cq_000025_c6a2f8a8db,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,"Q.27
Manju was shopping in a grocery store. She picked up a product and
started searching for the FPO mark on the package. What was the product
in her hand?"
cq_000026_ca4cbff2e8,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.46
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after
the launch, the sales were not meeting expectations, and employee morale
seemed low.
 
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
 
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any confl"
cq_000027_4a568d8dab,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.30
""A never say die"" attitude indicates which competency of an entrepreneur?"
cq_000028_5e39df095f,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,"Q.22
Which of the following are correct statements regarding leadership?"
cq_000030_38f467465a,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,Q.33
cq_000031_25d6ceac1c,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.9
That part of a brand which can be recognized but is non-utterable is called:"
cq_000032_2a1d23e153,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,"Q.11
Which of the following are the importance of Planning:"
cq_000033_e3eddf82b4,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,"Q.23
List-I
List-II"
cq_000036_b70e95e7e7,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,"Q.5
Which management function involves setting objectives, developing
courses of action, and providing a rational approach for achieving
organizational goals, and is considered the first step in the management
process?
Options:"
cq_000037_8ca4066900,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.29
In which method of on-the-job training, the trainee is kept under the
guidance of a master worker?"
cq_000038_0c76e426d0,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,"Q.25
Which of the following is related to economic dimension of business
environment?"
cq_000039_227b0b7b21,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.21
List–I
List–II
Entrepreneurial
Motivation
Explanation"
cq_000041_cf97dba986,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.47
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineering, financial ser"
cq_000042_9192846448,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.33
Arrange the stages of the selection process in the correct sequence."
cq_000043_a21ebcc680,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,"Q.21
Choose the correct order of planning process."
cq_000045_68f49d922c,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,It identifies critical problems which need timely action
cq_000046_a912619cb6,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.6
""A sales manager has to negotiate a deal with a buyer. She finds that if she
can offer a credit period of 60 days, she is likely to clinch the deal which is
supposed to fetch the company a net margin of say Rs. 50 crores. The
company entrusts her the task of clinching the deal but gives her power to
offer a credit period of only 40 days"". Identify the principle of management
violated in the aforesaid statement."
cq_000047_0ceb6fbe8b,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.18
Which function of management is considered as the ""thinking function""?"
cq_000048_6e134066aa,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,"Q.8
General stability and peace in the country and specific attitudes that
government representatives hold towards business signify which aspect of
the business environment?"
cq_000049_13e17f3d01,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.25
""Electrical appliances which are manufactured with substandard products
or do not conform to the safety norms might cause serious injury. Thus,
consumers are educated that they should use electrical appliances which
are ISI marked as this would be an assurance of such products meeting
quality specifications. ""Identify the consumer right highlighted in the
aforesaid statement."
cq_000050_2ea6aa09ad,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.23
List-I
List-II
Types of
Plan
Explanation"
cq_000051_d6830d1370,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,"Q.17
Which of the following statements are correct?"
cq_000052_cb9e89d6b0,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,"Q.17
""Paras developed a negative attitude towards his work because of his
unsatisfactory performance appraisal. Which of the following may help him
to change his attitude?"""
cq_000053_4969b1cd6f,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,"Q.38
Which of the following is not the principle of directing?"
cq_000055_d93685f6db,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.24
Organizational structure is the outcome of which process?"
cq_000056_2d3b24120e,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,"Q.2
The factors affecting the choice of capital structure are:"
cq_000057_4faa8a1b8b,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,"Q.10
Which among the following concept serves as a benchmark towards which
an organization strives to work?"
cq_000058_690b278429,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,"Q.8
__________ bridges the gap from where we are, to where we want to go by
deciding in advance what to do, when to do, and who is to do it."
cq_000059_e34d44f637,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.4
Match List-I with List-II
Functional Areas
Standards"
cq_000060_e52e5a7fbd,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.11
""Companies use sales promotion tools specifically designed to promote,
like product combinations, dealer discounts and dealer incentives"".
Which tool of promotion is highlighted in the aforesaid statement?"
cq_000061_a42c36af88,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,What was the first step in Apex Solutions' staffing process?
cq_000062_33a078b1b0,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,"Q.6
Match List-I with List-II
List-I (Principle of
Management)
List-II (Description)"
cq_000063_a4c2bec4d5,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,"Q.14
 Which of the following can NOT be considered as an element of directing?"
cq_000064_ac7c72f1d7,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,"Q.50
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,

--- Page 15 ---
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineeri"
cq_000065_6c2fc7acde,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,"Q.12
 
 
Match List-I with List-II
List-I
List-II
Importance of
Organising
Description"
cq_000066_198b55100b,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,"Q.24
Identify the advantage of Critical Point Control and Management by
Exception."
cq_000067_3e26a5817d,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,"Q.27
Management has to adapt itself to the changing environment. Which
feature of management is discussed here?"
cq_000068_d22e4041ce,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,"Q.3
Which of the following cannot be a characteristic of an entrepreneur?"
cq_000069_3845802497,1,2025,Dubuddy CUET Business Studies solved papers linked file,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,"Q.5
Which structure among the following is an organizational design that
groups similar or related jobs together for occupational specialization?"
