repeated_concept_cluster,question_count,years_seen,year_count,chapters,example_question
Consumer Protection :: legal redressal,17,"2022, 2023, 2024, 2025",4,Consumer Protection,If any of the parties are not satisfied by the order of _____ they can appeal against such order to the State Commission on the grounds of facts or law within a period of forty-five days from the date of order.
Business Finance :: financial management,13,"2022, 2023, 2024, 2025",4,Business Finance,Financial management aims at choosing the best investment and financing alternatives by focusing on their costs and benefits. Its objective is to:
Entrepreneurship Development :: competencies and values,12,"2022, 2023, 2025",3,Entrepreneurship Development,"The following are part of entrepreneurial motivation, except:

1. Need for Achievement (N-Ach.)
2. Need for Power (N-Pow)
3. Need for Affiliation (N-Aff.)
4. Need for Profit (N-Pro)"
Nature and Significance of Management :: coordination,12,2025,1,Nature and Significance of Management,________ is the force that binds all the other functions of management together.
Planning :: meaning and features,11,"2022, 2023, 2025",3,Planning,"""A manager starts planning before the work begins and when work is accomplished, planning for the other work starts"". Identify the feature of planning reflected by the given statement."
Business Environment :: importance of environment,11,"2022, 2025",2,Business Environment,Which of the following statements does NOT represent the importance of business environment?
Business Finance :: financial planning,11,"2022, 2025",2,Business Finance,Financial Planning of a company is essentially known as ________?
Nature and Significance of Management :: importance of management,10,"2022, 2023, 2025",3,Nature and Significance of Management,"__________ in management is concerned with doing the right task, completing activities and achieving goals."
Principles of Management :: nature of principles,10,"2022, 2023, 2025",3,Principles of Management,The application of principles of management is dependent upon the prevailing situation and has to be changed as per requirements. This defines which nature of principle of management?
Business Finance :: fixed capital,9,"2022, 2023, 2025",3,Business Finance,"Factors affecting the working capital requirement are:

(A) Nature of Business

(B) Seasonal factors

(C) Credit availed

(D) Stock market conditions

Choose the correct answer from the options given below:"
Organising :: formal and informal organisation,9,"2022, 2023, 2025",3,Organising,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (A) Formal Organisation | (I) Related and similar work is done in one department under one executive. |
| (B) Functional Organisation | (II) Enterprises which have more than one category of products to offer. |
| (C) Informal Organisation | (III) It refers to the organization which is deliberately designed. |
| (D) Divisional Organisation | (IV) Refers to a network of social relationships. |

Choose the correct answer from the optio"
Staffing :: meaning and importance,9,"2022, 2025",2,Staffing,"Arrange the following stages of staffing process in the correct order.

(A) Searching for employees and stimulating them to apply

(B) Issuing offer letter

(C) Giving a brief presentation about the company

(D) Determining the number of personnel required for vacant positions

Choose the correct answer from the options given below:"
Organising :: decentralisation,8,"2022, 2025",2,Organising,Which of the following statements is true?
Marketing :: pricing,7,"2023, 2024, 2025",3,Marketing,Identify the method of floatation in Primary Market wherein a company sells securities enbloc at an agreed price to a broker.
Consumer Protection :: NGOs and relief,7,"2022, 2025",2,Consumer Protection,"Which of the following are the role of NGOs and consumer organizations for the protection of consumers?
(A) Carrying out testing of consumer products
(B) Taking initiatives in filing cases in consumer courts for individuals only
(C) Providing legal assistance to consumers by way of providing aid, legal advice etc.
(D) Publishing periodicals to impart knowledge about consumer problems and relief available.
Choose the correct answer from the options given below:"
Marketing :: channels of distribution,6,"2023, 2025",2,Marketing,The components of physical distribution are:
Marketing :: marketing management philosophies,5,"2022, 2023",2,Marketing,Which Marketing Management philosophy has main focus on existing product?
Organising :: importance,5,2025,1,Organising,"Match List-I with List-II 
 

| List-I | List-II |
| --- | --- |
| Importance of Organising | Description |
| --- | --- |
| (A) Development of personnel | (I) Survive and grow in spite of changes |
| (B) Adaptation to change | (II) Stimulating creativity amongst the managers |
| (C) Expansion and growth | (III) Clear description of jobs to avoid confusion |
| (D) Effective administration | (IV) Allowing a business enterprise to add more job positions and departments |

 
 Choose the correct answ"
Consumer Protection :: consumer responsibilities,4,"2022, 2025",2,Consumer Protection,What action did Ananya first take against the store?
Entrepreneurship Development :: process,4,2025,1,Entrepreneurship Development,"Arrange the following steps involved in setting up a business in a logical order.
(A) Resource Mobilisation
(B) Development of Product/Service idea
(C) Environmental scanning for entrepreneurial opportunities
(D) Assessment of feasibility of the idea and preparation of a business plan
Choose the correct answer from the options given below:"
Business Environment :: liberalisation privatisation globalisation,3,"2022, 2023",2,Business Environment,"""Simplifying procedures for imports and exports.""
The above statement is related to ________ concept of economic environment in India."
Business Finance :: dividend decision,3,"2022, 2025",2,Business Finance,The decision considered by the management in the above case is related to:
Controlling :: relationship with planning,3,"2022, 2023",2,Controlling,Planning is pervasive because:-
Marketing :: marketing vs selling,3,"2022, 2025",2,Marketing,What was the key challenge faced by the Wipro during its restructuring process?
Entrepreneurship Development :: need and characteristics,2,"2023, 2024",2,Entrepreneurship Development,Qualities of successful entrepreneur do not include:
unclassified,2,2025,1,,$32
keyword :: caveat emptor means seller,1,2025,1,,"The term ""Caveat Emptor"" means:"
keyword :: caveat venditor imply buyer,1,2025,1,,What does Caveat Venditor imply?
