canonical_question_id,ai_suggested_chapter,ai_suggested_subtopic,ai_suggested_question_pattern,ai_suggested_difficulty,ai_suggested_ncert_heading,ai_suggested_micro_concept,micro_concept_confidence,micro_concept_note,llm_label,rule_label,embedding_label,bm25_label,final_confidence,review_reason,taxonomy_mismatch_reason,question_text
cq_000014_f368bee175,Entrepreneurship Development,process,definition-based,easy,Process,process,0.82,,Entrepreneurship Development :: process,Business Environment :: importance of environment,Entrepreneurship Development :: process,Entrepreneurship Development :: process,0.55,confidence=0.55; agreement=3/4,,"Q.35
Which process is referred to as the process of learning opportunities
designed to help employees grow?"
cq_000016_e958a5b882,Nature and Significance of Management,features of management,definition-based,easy,Features Of Management,features of management,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: features of management,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: features of management,Nature and Significance of Management :: features of management,0.57,confidence=0.57; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation; taxonomy mismatch: micro_concept not allowed for chapter: delegation,,"Q.23
Identify the management function focusing on assigning duties, grouping
tasks, establishing authority and allocating resources required to carry out"
cq_000017_70426df216,Planning,meaning and features,definition-based,easy,Meaning And Features,planning,0.82,,Planning :: meaning and features,Planning :: meaning and features,Planning :: meaning and features,Planning :: meaning and features,0.72,confidence=0.72; agreement=4/4,,"Q.9
Which of the following is a function that brings the management cycle back
to the planning function?"
cq_000018_121dcdd5b4,Organising,meaning and process,chronology/process order,easy,Meaning And Process,meaning and process,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Organising :: meaning and process,Nature and Significance of Management :: coordination,Organising :: meaning and process,Organising :: meaning and process,0.71,confidence=0.71; agreement=3/4; taxonomy mismatch: micro_concept not allowed for chapter: process; taxonomy mismatch: micro_concept not allowed for chapter: process; taxonomy mismatch: micro_concept not allowed for chapter: process; taxonomy mismatch: micro_concept not allowed for chapter: process; taxonomy mismatch: micro_concept not allowed for chapter: process; taxonomy mismatch: micro_concept not allowed for chapter: process,,"Q.34
Arrange the following in the correct sequence of the organizing process."
cq_000019_2bb51e82ab,Organising,decentralisation,match-the-following,medium,Decentralisation,centralisation/decentralisation,0.82,,Organising :: decentralisation,Planning :: importance,Organising :: decentralisation,Organising :: decentralisation,0.59,confidence=0.59; agreement=3/4,,"Q.27 Match List-I with List-II
 
 
List-I
List-II"
cq_000021_ea573fd24d,Organising,delegation,statement true/false,hard,Delegation,delegation,0.82,,Organising :: delegation,Organising :: delegation,Nature and Significance of Management :: functions of management,Nature and Significance of Management :: functions of management,0.45,confidence=0.45; agreement=2/4,,"Q.49
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineering, financial services, etc. Each
subsidiary brings in about $300 million in annual earnings and is self-
sufficient with their own accounting books, personnel and administrative
functions. This policy of company reduces the workload as well as
enhances productivity because of the specific workers performing a
specific job on a regular basis. Such a practice at Wipro further resulted in
avoidance of duplication of work, helps in preventing confusion and
minimising the wastage of efforts. Wipro shifted from a centralised to
decentralised management system. All responsibilities for growth lay with
the management of each entity. “We tried to de-layer the organisation and
empower our business leaders with a much higher degree of growth
responsibility,” said Premji. This practice gives the employee requisite time
to explore areas for growth and the opportunity to innovate thereby
strengthening the company’s competitive position. The authority dispersal
develops in the subordinate the ability to deal effectively with challenges
and helps them to realise their full potential.
""Such a practice at Wipro further resulted in avoidance of duplication of
work and helps in preventing confusion and minimising wastage of
efforts"". Identify the significance of the function of management
highlighted in the aforesaid statement."
cq_000024_1e53e71d22,Business Finance,financial management,definition-based,easy,Financial Management,financial,0.82,,Business Finance :: financial management,Business Finance :: financial planning,Business Finance :: financial management,Business Finance :: financial management,0.64,confidence=0.64; agreement=3/4,,"Q.12
Which among the following aims at smooth operations by focusing on fund
requirements and their availability in the light of financial decisions?"
cq_000026_ca4cbff2e8,Nature and Significance of Management,meaning and objectives,feature-identification,hard,Meaning And Objectives,meaning and objectives,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: meaning and objectives,Marketing :: marketing management philosophies,Marketing :: marketing management philosophies,0.58,confidence=0.58; agreement=2/4; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Q.46
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after
the launch, the sales were not meeting expectations, and employee morale
seemed low.
 
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
 
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any conflicts. Her presence ensured that tasks were
completed on time and in alignment with the company’s objectives. She
also provided feedback and recognized the efforts of team members, which
boosted their morale.
 
Rahul implemented a reward system where employees exceeding their
targets would receive incentives. Additionally, training sessions were
organized to improve employees’ skills and confidence in handling the
advanced features of the new product.
Rahul identified that there was a lack of proper communication between
the marketing and production teams"". Which concept of management is
lacking here in these lines?"
cq_000027_4a568d8dab,Entrepreneurship Development,concept and functions,definition-based,easy,Concept And Functions,entrepreneurship,0.82,,Entrepreneurship Development :: concept and functions,Entrepreneurship Development :: concept and functions,Entrepreneurship Development :: concept and functions,Entrepreneurship Development :: concept and functions,0.65,confidence=0.65; agreement=4/4,,"Q.30
""A never say die"" attitude indicates which competency of an entrepreneur?"
cq_000028_5e39df095f,Directing,leadership,statement true/false,easy,Leadership,leadership style,0.82,,Directing :: leadership,Directing :: leadership,Controlling :: control process,Controlling :: control process,0.56,confidence=0.56; agreement=2/4,,"Q.22
Which of the following are correct statements regarding leadership?"
cq_000030_38f467465a,Planning,meaning and features,statement true/false,easy,Meaning And Features,planning,0.82,,Planning :: meaning and features,Principles of Management :: Fayol principles,Planning :: meaning and features,Planning :: meaning and features,0.6,confidence=0.60; agreement=3/4,,Q.33
cq_000035_8374b1de11,Business Finance,financing decision,case-study diagnosis,hard,Financing Decision,financial risk,0.82,,Business Finance :: Financing Decision,Business Finance :: financing decision,Business Finance :: financing decision,Business Finance :: financing decision,0.59,confidence=0.59; agreement=3/4,,"Q.44
Passage 1: Detrimental debt
On the basis of this passage, answer the questions from Q. No. 41 to Q. No.
45
Even successful businesses have debt, but how much is too much?
Learning how to manage debt is what can put you ahead. Taking on the
right amount of debt can mean the difference between a business
struggling to survive and one that can respond nimbly to changing
economic or market conditions. A number of circumstances may justify
acquiring debt. As a general rule, borrowing makes the most sense when
you need to bolster cash flow or finance growth or expansion. But while
debt can provide the leverage you need to grow, too much debt can
strangle your business. So the question is: How much debt is too much?"
cq_000036_b70e95e7e7,Planning,planning process,definition-based,easy,Planning Process,types of plans,0.82,,Planning :: planning process,Nature and Significance of Management :: functions of management,Planning :: planning process,Planning :: planning process,0.74,confidence=0.74; agreement=3/4,,"Q.5
Which management function involves setting objectives, developing
courses of action, and providing a rational approach for achieving
organizational goals, and is considered the first step in the management
process?
Options:"
cq_000037_8ca4066900,Staffing,training and development,definition-based,easy,Training And Development,training and development,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Staffing :: training and development,Staffing :: training and development,Staffing :: training and development,Staffing :: training and development,0.89,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Q.29
In which method of on-the-job training, the trainee is kept under the
guidance of a master worker?"
cq_000039_227b0b7b21,Entrepreneurship Development,need and characteristics,concept-to-example,easy,Need And Characteristics,need and characteristics,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Entrepreneurship Development :: need and characteristics,Entrepreneurship Development :: competencies and values,Entrepreneurship Development :: need and characteristics,Entrepreneurship Development :: need and characteristics,0.87,taxonomy mismatch: micro_concept not allowed for chapter: desire; taxonomy mismatch: micro_concept not allowed for chapter: desire; taxonomy mismatch: micro_concept not allowed for chapter: desire; taxonomy mismatch: micro_concept not allowed for chapter: desire; taxonomy mismatch: micro_concept not allowed for chapter: desire; taxonomy mismatch: micro_concept not allowed for chapter: desire,,"Q.21
List–I
List–II
Entrepreneurial
Motivation
Explanation"
cq_000040_bb0068c9ef,Controlling,control process,definition-based,medium,Control Process,control process,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Controlling :: control process,Controlling :: meaning and importance,Controlling :: control process,Controlling :: control process,0.84,taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Q.45
Aditi is the manager of a growing manufacturing company called
ShineTech Pvt. Ltd. The company specializes in producing eco-friendly
household appliances. Over the past year, the company has faced several
challenges, including delayed deliveries, inconsistent product quality, and
rising costs. These issues impacted customer satisfaction and reduced
profits.
To address these challenges, Aditi decided to strengthen the controlling
function in the organization. She introduced a system of performance
standards, clearly defined goals, and a method to regularly monitor
progress. For instance, production efficiency was set at 95%, customer
complaints were to be reduced by 20%, and delivery deadlines had to be
met 95% of the time. She ensured that each department understood their
specific standards.
Aditi also implemented a weekly review system where the team could
assess their performance against the standards. Any deviations were
identified, and corrective actions were taken immediately. For instance,
when it was found that the quality control team was understaffed, Aditi
hired additional inspectors and provided training.
Moreover, Aditi used technology to track performance in real-time. She
introduced an automated system for inventory management to reduce
wastage and monitor production schedules closely. This system helped
ShineTech Pvt. Ltd. streamline operations and identify areas of
improvement quickly.
""When it was found that the quality control team was understaffed, Aditi
hired additional inspectors and provided training"". Which step of
management function is highlighted in these lines?"
cq_000041_cf97dba986,Organising,divisional structure,statement true/false,hard,Divisional Structure,divisional structure,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Organising :: divisional structure,Organising :: delegation,Business Finance :: financial management,Business Finance :: financial management,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: divisional structure; taxonomy mismatch: subtopic not allowed for chapter: divisional structure; taxonomy mismatch: subtopic not allowed for chapter: divisional structure; taxonomy mismatch: subtopic not allowed for chapter: divisional structure; taxonomy mismatch: subtopic not allowed for chapter: divisional structure; taxonomy mismatch: subtopic not allowed for chapter: divisional structure; taxonomy mismatch: subtopic not allowed for chapter: divisional structure; taxonomy mismatch: subtopic not allowed for chapter: divisional structure,subtopic not allowed for chapter: divisional structure,"Q.47
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineering, financial services, etc. Each
subsidiary brings in about $300 million in annual earnings and is self-
sufficient with their own accounting books, personnel and administrative
functions. This policy of company reduces the workload as well as
enhances productivity because of the specific workers performing a
specific job on a regular basis. Such a practice at Wipro further resulted in
avoidance of duplication of work, helps in preventing confusion and
minimising the wastage of efforts. Wipro shifted from a centralised to
decentralised management system. All responsibilities for growth lay with
the management of each entity. “We tried to de-layer the organisation and
empower our business leaders with a much higher degree of growth
responsibility,” said Premji. This practice gives the employee requisite time
to explore areas for growth and the opportunity to innovate thereby
strengthening the company’s competitive position. The authority dispersal
develops in the subordinate the ability to deal effectively with challenges
and helps them to realise their full potential.
“Wipro separated itself into several subsidiaries by product line:
telecommunications, engineering, financial services, etc”. On the basis of
the aforesaid statement, identify the organizational structure which is best
suited for the company?"
cq_000044_f25709632d,Business Finance,financing decision,case-study diagnosis,medium,Financing Decision,financial risk,0.82,,Business Finance :: Financing Decision,Business Finance :: financing decision,Business Finance :: financing decision,Business Finance :: financing decision,0.71,confidence=0.71; agreement=3/4,,"Q.50
Read the following passage carefully and answer the given questions.
ABC Manufacturing Ltd., a mid-sized company, is planning to expand its
operations by setting up a new production facility. The financial planning
team estimates the project cost at $10 million. The company's finance
manager must decide how to fund this project and evaluate its profitability.
 
The finance team forecasts future cash flows, determining that $6 million
can be sourced internally through retained earnings. They prepare a
financial budget aligning expected inflows and outflows with the
company's goals.
 
The finance manager evaluates options for the remaining $4 million,
including issuing equity or taking a bank loan. After analyzing interest
rates and dilution of ownership, they decided to issue long-term debt at a
5% interest rate."
cq_000045_68f49d922c,Entrepreneurship Development,need and characteristics,definition-based,easy,Need And Characteristics,entrepreneurship,0.82,,Entrepreneurship Development :: need and characteristics,Controlling :: control process,Entrepreneurship Development :: need and characteristics,Entrepreneurship Development :: need and characteristics,0.65,confidence=0.65; agreement=3/4,,It identifies critical problems which need timely action
cq_000046_a912619cb6,Principles of Management,Principle of Authority and Responsibility,statement true/false,easy,Principle Of Authority And Responsibility,Principle of Authority and Responsibility,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Principles of Management :: Principle of Authority and Responsibility,Nature and Significance of Management :: meaning and objectives,Staffing :: selection,Staffing :: selection,0.34,confidence=0.34; agreement=1/4; taxonomy mismatch: subtopic not allowed for chapter: Principle of Authority and Responsibility; micro_concept not allowed for chapter: delegation; taxonomy mismatch: subtopic not allowed for chapter: Principle of Authority and Responsibility; micro_concept not allowed for chapter: delegation; taxonomy mismatch: subtopic not allowed for chapter: Principle of Authority and Responsibility; micro_concept not allowed for chapter: delegation; taxonomy mismatch: subtopic not allowed for chapter: Principle of Authority and Responsibility; micro_concept not allowed for chapter: delegation; taxonomy mismatch: subtopic not allowed for chapter: Principle of Authority and Responsibility; micro_concept not allowed for chapter: delegation; taxonomy mismatch: subtopic not allowed for chapter: Principle of Authority and Responsibility; micro_concept not allowed for chapter: delegation; taxonomy mismatch: subtopic not allowed for chapter: Principle of Authority and Responsibility; micro_concept not allowed for chapter: Principle of Authority and Responsibility; taxonomy mismatch: subtopic not allowed for chapter: Principle of Authority and Responsibility; micro_concept not allowed for chapter: Principle of Authority and Responsibility,subtopic not allowed for chapter: Principle of Authority and Responsibility; micro_concept not allowed for chapter: Principle of Authority and Responsibility,"Q.6
""A sales manager has to negotiate a deal with a buyer. She finds that if she
can offer a credit period of 60 days, she is likely to clinch the deal which is
supposed to fetch the company a net margin of say Rs. 50 crores. The
company entrusts her the task of clinching the deal but gives her power to
offer a credit period of only 40 days"". Identify the principle of management
violated in the aforesaid statement."
cq_000047_0ceb6fbe8b,Nature and Significance of Management,features of management,definition-based,easy,Features Of Management,management,0.82,,Nature and Significance of Management :: features of management,Nature and Significance of Management :: meaning and objectives,Nature and Significance of Management :: features of management,Nature and Significance of Management :: features of management,0.52,confidence=0.52; agreement=3/4,,"Q.18
Which function of management is considered as the ""thinking function""?"
cq_000049_13e17f3d01,Consumer Protection,consumer rights,statement true/false,medium,Consumer Rights,consumer rights,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Consumer Protection :: consumer rights,Consumer Protection :: consumer rights,Consumer Protection :: consumer rights,Consumer Protection :: consumer rights,0.99,taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy; taxonomy mismatch: micro_concept not allowed for chapter: maslow hierarchy,,"Q.25
""Electrical appliances which are manufactured with substandard products
or do not conform to the safety norms might cause serious injury. Thus,
consumers are educated that they should use electrical appliances which
are ISI marked as this would be an assurance of such products meeting
quality specifications. ""Identify the consumer right highlighted in the
aforesaid statement."
cq_000052_cb9e89d6b0,Staffing,staffing process,definition-based,easy,Staffing Process,staffing,0.82,,Staffing :: staffing process,Staffing :: staffing process,Staffing :: staffing process,Staffing :: staffing process,0.67,confidence=0.67; agreement=4/4,,"Q.17
""Paras developed a negative attitude towards his work because of his
unsatisfactory performance appraisal. Which of the following may help him
to change his attitude?"""
cq_000053_4969b1cd6f,Directing,meaning and importance,feature-identification,easy,Meaning And Importance,directing,0.82,,Directing :: principles of directing,Directing :: meaning and importance,Directing :: meaning and importance,Directing :: meaning and importance,0.58,confidence=0.58; agreement=3/4,,"Q.38
Which of the following is not the principle of directing?"
cq_000054_539947ac7d,Directing,motivation,feature-identification,hard,Motivation,motivation,0.45,Micro-concept uncertain; trust chapter/subtopic more.,Directing :: motivation,Directing :: communication,Marketing :: product,Marketing :: product,0.35,confidence=0.35; agreement=1/4; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans; taxonomy mismatch: micro_concept not allowed for chapter: types of plans,,"Q.47
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after
the launch, the sales were not meeting expectations, and employee morale
seemed low.
 
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
 
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any conflicts. Her presence ensured that tasks were
completed on time and in alignment with the company’s objectives. She
also provided feedback and recognized the efforts of team members, which
boosted their morale.
 
Rahul implemented a reward system where employees exceeding their
targets would receive incentives. Additionally, training sessions were
organized to improve employees’ skills and confidence in handling the
advanced features of the new product.
What motivational tool did Rahul implement?"
