source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review,normalized_question_key,exact_question_hash,canonical_question_id,source_tier,source_weight,year_weight,weighted_frequency_score,recency_weighted_score,duplicate_group_size,duplicate_source_urls
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13.0,,111309453a64aa7d3d,366,"Q.47
Read the passage and answer the following questions:
GreenTech Solutions, a renewable energy company, focuses on achieving
financial stability and growth through robust financial management. The
company ensures efficient allocation of business finance to expand
operations, adopt new technology, and maintain a competitive edge. Its
financial planning is centered on long-term sustainability, balancing
profitability with eco-friendly initiatives.
 

--- Page 13 ---
To optimize its capital structure, GreenTech maintains a balanced mix of
debt and equity, minimizing the cost of capital while ensuring financial
flexibility. The firm undertakes thorough capital budgeting processes to
evaluate projects like setting up new solar farms, ensuring only viable
investments are pursued. Tools like Net Present Value (NPV) and Internal
Rate of Return (IRR) guide decision-making.
 
GreenTech's dividend decision aligns with its growth strategy. While
retaining a significant portion of earnings for reinvestment, the company
ensures consistent dividends to satisfy shareholders. This approach
strengthens investor confidence while funding expansion plans.
 
Efficient working capital management ensures smooth day-to-day
operations. By optimizing cash flow, managing inventory, and negotiating
favorable credit terms with suppliers, GreenTech avoids liquidity issues
while meeting short-term obligations.
 
Through prudent financial strategies, GreenTech achieves its goal of
profitability and sustainability, setting an example in the renewable energy
sector.
 
Which process evaluates the viability of long-term investment projects?",,,,,,,,,case-based,medium,Unit IX,Business Finance,financing decision,"capital structure, debt, equity, cost of capital",Business Finance :: financing decision,0.88,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no,q 47 read the passage and the following questions greentech solutions a renewable energy company focuses on achieving financial stability and growth through robust financial management the company ensures efficient allocation of finance to expand operations adopt new technology and maintain a competitive edge its financial planning is centered on long term sustainability balancing profitability with eco friendly initiatives page 13 to optimize its capital structure greentech maintains a balanced mix of debt and equity minimizing the cost of capital while ensuring financial flexibility the firm undertakes thorough capital budgeting processes to evaluate projects like setting up new solar farms ensuring only viable investments are pursued tools like net present value npv and internal rate of return irr guide decision making greentech s dividend decision aligns with its growth strategy while retaining a significant portion of earnings for reinvestment the company ensures consistent dividends to satisfy shareholders this approach strengthens investor confidence while funding expansion plans efficient working capital management ensures smooth day to day operations by optimizing cash flow managing inventory and negotiating favorable credit terms with suppliers greentech avoids liquidity issues while meeting short term obligations through prudent financial strategies greentech achieves its goal of profitability and sustainability setting an example in the renewable energy sector which process evaluates the viability of long term investment projects,c6c21691ed8ab9ebc0647a3c,cq_000011_c6c21691ed,structured_pyq_site,0.65,1.0,0.65,0.65,5,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13.0,ting,1462750e544fa489cb,2,"Q.1
Planning is an important function of management which involves defining
the following:",,,Setting objectives,"Deciding on plans, actions and strategies to achieve organisational goals",Allocating and arranging resources,Motivating and inspiring people to perform better Choose the correct answer from the options given below:,,,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,"management, objectives",Nature and Significance of Management :: meaning and objectives,0.69,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no,q 1 planning is an important function of management which involves defining the following setting objectives deciding on plans actions and strategies to achieve organisational goals allocating and arranging resources motivating and inspiring people to perform better choose the from the options given below,cda207564966c2d34179b8d7,cq_000012_cda2075649,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13.0,,15c28abd92018262f1,198,"Q.26
Which of the following are identified as features of a profession?",,,Well-defined body of knowledge,Existence of theoretical knowledge,Entry restricted on the basis of examination or education,Dominance of service motive Choose the correct answer from the options given below:,,,direct,easy,Unit I,Nature and Significance of Management,features of management,features,Nature and Significance of Management :: features of management,0.34,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no,q 26 which of the following are identified as features of a profession well defined body of knowledge existence of theoretical knowledge entry restricted on the basis of examination or education dominance of service motive choose the from the options given below,c56c0a40191f4ee1e0cdbd67,cq_000013_c56c0a4019,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22.0,,1814a352a30e0ed2db,274,"Q.35
Which process is referred to as the process of learning opportunities
designed to help employees grow?",,,,,,,,,direct,easy,Unit III,Business Environment,importance of environment,opportunities,Business Environment :: importance of environment,0.34,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no,q 35 which process is referred to as the process of learning opportunities designed to help employees grow,f368bee175908d7cfb4a5104,cq_000014_f368bee175,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13.0,,1935dba308ce4bc28c,254,"Q.33
Which of the following factor is NOT responsible for emergence of
entrepreneurship?",,,,,,,,,direct,easy,Unit XII,Entrepreneurship Development,concept and functions,"entrepreneurship, entrepreneur",Entrepreneurship Development :: concept and functions,0.59,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no,q 33 which of the following factor is not responsible for emergence of entrepreneurship,c911d5af7b4596249e2bea1f,cq_000015_c911d5af7b,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22.0,,1a64d801053f698d00,178,"Q.23
Identify the management function focusing on assigning duties, grouping
tasks, establishing authority and allocating resources required to carry out",,,specific plan.,,,,,,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,management,Nature and Significance of Management :: meaning and objectives,0.38,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no,q 23 identify the management function focusing on assigning duties grouping tasks establishing authority and allocating resources required to carry out specific plan,e958a5b882545da1465e77b4,cq_000016_e958a5b882,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13.0,,1a66524a04cdd02b14,62,"Q.9
Which of the following is a function that brings the management cycle back
to the planning function?",,,,,,,,,direct,easy,Unit IV,Planning,meaning and features,planning,Planning :: meaning and features,0.43,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no,q 9 which of the following is a function that brings the management cycle back to the planning function,70426df216e092500b939b4a,cq_000017_70426df216,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,26-05-2025,26.0,,1a78f3cc4739e7c94e,266,"Q.34
Arrange the following in the correct sequence of the organizing process.",,,Grouping the activities into workable units,Workers are placed under the charge of an individual,Identification and classification of activities,Establishing a hierarchical structure and making provision for effective coordination Choose the correct answer from the options given below:,,,chronology,easy,Unit I,Nature and Significance of Management,coordination,coordination,Nature and Significance of Management :: coordination,0.37,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_d9c8e58d33200d54.pdf,no,q 34 arrange the following in the sequence of the organizing process grouping the activities into workable units workers are placed under the charge of an individual identification and classification of activities establishing a hierarchical structure and making provision for effective coordination choose the from the options given below,121dcdd5b40a37b97ec60ea3,cq_000018_121dcdd5b4,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16.0,,1aba397d15f0a44b34,210,"Q.27 Match List-I with List-II
 
 
List-I
List-II",,,Job Enrichment (I) Giving more autonomy and powers to subordinates.,Job security (II) Involving employees in decision making of the issues related to them.,Employee Empowerment (III) Concerned with certain stability about future income and work.,"Employee participation (IV) Jobs include a greater variety of work, and require a higher level of knowledge and skill. --- Page 7 --- Choose the correct answer from the options given below:",,,match-the-following,medium,Unit IV,Planning,importance,decision making,Planning :: importance,0.4,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no,q 27 match list i with list ii list i list ii job enrichment i giving more autonomy and powers to subordinates job security ii involving employees in decision making of the issues related to them employee empowerment iii concerned with certain stability about future income and work employee participation iv jobs include a greater variety of work and require a higher level of knowledge and skill page 7 choose the from the options given below,2bb51e82ab53334613c40400,cq_000019_2bb51e82ab,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,26-05-2025,26.0,,1adbcfc5ff6a484dc3,202,"Q.26
List-I
List-II
Features of
Business
Environment
Example",,,Relative (I) Difficult to comprehend which factor is responsible for the increase in demand of a product.,Complex (II) Difficult to predict future development in Information Technology.,Dynamic (III) Demand of Saree is more in South India than that of North India.,Uncertain (IV) Fast Technological upgradation and rising competition Choose the correct answer from the options given below:,,,application,easy,Unit III,Business Environment,meaning and features,"business environment, dynamic",Business Environment :: meaning and features,0.64,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_d9c8e58d33200d54.pdf,no,q 26 list i list ii features of environment example relative i difficult to comprehend which factor is responsible for the increase in demand of a product complex ii difficult to predict future development in information technology dynamic iii demand of saree is more in south india than that of north india uncertain iv fast technological upgradation and rising competition choose the from the options given below,7e2280c1639e92fb543c28c9,cq_000020_7e2280c163,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22.0,,1bd21ddbfea5e40a3a,386,"Q.49
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineering, financial services, etc. Each
subsidiary brings in about $300 million in annual earnings and is self-
sufficient with their own accounting books, personnel and administrative
functions. This policy of company reduces the workload as well as
enhances productivity because of the specific workers performing a
specific job on a regular basis. Such a practice at Wipro further resulted in
avoidance of duplication of work, helps in preventing confusion and
minimising the wastage of efforts. Wipro shifted from a centralised to
decentralised management system. All responsibilities for growth lay with
the management of each entity. “We tried to de-layer the organisation and
empower our business leaders with a much higher degree of growth
responsibility,” said Premji. This practice gives the employee requisite time
to explore areas for growth and the opportunity to innovate thereby
strengthening the company’s competitive position. The authority dispersal
develops in the subordinate the ability to deal effectively with challenges
and helps them to realise their full potential.
""Such a practice at Wipro further resulted in avoidance of duplication of
work and helps in preventing confusion and minimising wastage of
efforts"". Identify the significance of the function of management
highlighted in the aforesaid statement.",,,,,,,,,case-based,hard,Unit V,Organising,delegation,"authority, responsibility",Organising :: delegation,0.58,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no,q 49 passage 2 the software giant wipro technology on the basis of the following passage the q no 46 to q no 50 it s not quite there yet but the goal is certainly within reach one of india s largest it solutions providers wipro technologies is taking on the likes of ibm and accenture in its effort to be included among the largest and most successful technology services companies in the world restructuring wipro was considered the most important step in becoming a global giant driven by the goal towards improved customer orientation during the past few months wipro separated itself into several subsidiaries by product line telecommunications engineering financial services etc each subsidiary brings in about 300 million in annual earnings and is self sufficient with their own accounting books personnel and administrative functions this policy of company reduces the workload as well as enhances productivity because of the specific workers performing a specific job on a regular basis such a practice at wipro further resulted in avoidance of duplication of work helps in preventing confusion and minimising the wastage of efforts wipro shifted from a centralised to decentralised management system all responsibilities for growth lay with the management of each entity we tried to de layer the organisation and empower our leaders with a much higher degree of growth responsibility said premji this practice gives the employee requisite time to explore areas for growth and the opportunity to innovate thereby strengthening the company s competitive position the authority dispersal develops in the subordinate the ability to deal effectively with challenges and helps them to realise their full potential such a practice at wipro further resulted in avoidance of duplication of work and helps in preventing confusion and minimising wastage of efforts identify the significance of the function of management highlighted in the aforesaid statement,ea573fd24d9ab65561e9ea91,cq_000021_ea573fd24d,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22.0,,2062b48a47bd316d8a,282,"Q.36
The concept of marketing is based on the pillars arranged in the following
sequence:",,,Satisfying the needs of the target market better than the competitors,Understanding the needs and wants of customers in the target market.,Identification of the market or customer who is chosen as the target of a marketing effort.,Development of products or services for satisfying the needs of the target market. Choose the correct answer from the options given below:,,,chronology,easy,Unit X,Marketing,marketing meaning,"marketing, market",Marketing :: marketing meaning,0.67,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no,q 36 the concept of marketing is based on the pillars arranged in the following sequence satisfying the needs of the target market better than the competitors understanding the needs and wants of customers in the target market identification of the market or customer who is chosen as the target of a marketing effort development of products or services for satisfying the needs of the target market choose the from the options given below,ab6d49d2f5fc974769f23208,cq_000022_ab6d49d2f5,structured_pyq_site,0.65,1.0,0.65,0.65,1,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
