canonical_question_id,chapter,subtopic,ncert_heading,ncert_page,ncert_paragraph,ncert_concept,concept_type,question_pattern,micro_concept,final_confidence,needs_review
cq_000020_7e2280c163,Business Environment,meaning and features,Meaning And Features,,,business environment; specific forces; general forces; dynamic; uncertainty; complexity,feature,feature-identification,environment,0.99,false
cq_000021_ea573fd24d,Organising,delegation,Delegation,,,delegation; authority; responsibility; accountability; absoluteness of accountability,definition,statement true/false,delegation,0.45,true
cq_000022_ab6d49d2f5,Marketing,marketing meaning,Marketing Meaning,,,marketing; market; customer needs; exchange mechanism; marketing management,definition,chronology/process order,marketing,0.99,false
cq_000023_0acad7b1fa,Nature and Significance of Management,levels of management,Levels Of Management,,,top level; middle level; supervisory; operational management; levels of management,definition,definition-based,management,0.99,false
cq_000024_1e53e71d22,Business Finance,financial management,Financial Management,,,financial management; wealth maximisation; profit maximisation; financial decisions,definition,definition-based,financial,0.64,true
cq_000025_c6a2f8a8db,Marketing,product,Product,,,product; branding; brand name; brand mark; trademark; labelling; packaging,definition,definition-based,product,0.99,false
cq_000026_ca4cbff2e8,Nature and Significance of Management,meaning and objectives,Meaning And Objectives,,,management; objectives; organisational objectives; social objectives; personal objectives,definition,feature-identification,types of plans,0.58,true
cq_000027_4a568d8dab,Entrepreneurship Development,concept and functions,Concept And Functions,,,entrepreneurship; entrepreneur; risk bearing; innovation; organisation building,definition,definition-based,entrepreneurship,0.65,true
cq_000028_5e39df095f,Directing,leadership,Leadership,,,leadership; leader; autocratic; democratic; laissez faire; qualities of leader,definition,statement true/false,leadership style,0.56,true
cq_000029_020d5eb286,Marketing,marketing mix,Marketing Mix,,,marketing mix; four ps; product; price; place; promotion,definition,definition-based,price mix,0.99,false
cq_000030_38f467465a,Planning,meaning and features,Meaning And Features,,,planning; primary function; intellectual process; future oriented; pervasive,process,statement true/false,planning,0.60,true
cq_000031_25d6ceac1c,Marketing,product,Product,,,product; branding; brand name; brand mark; trademark; labelling; packaging,definition,definition-based,marketing,0.76,false
cq_000032_2a1d23e153,Planning,importance,Importance,,,importance of planning; reduces uncertainty; reduces overlapping; innovative ideas; decision making,definition,definition-based,planning,0.99,false
cq_000033_e3eddf82b4,Marketing,product,Product,,,product; branding; brand name; brand mark; trademark; labelling; packaging,definition,definition-based,product mix,0.99,false
cq_000034_54c840a444,Staffing,staffing process,Staffing Process,,,estimating manpower requirements; recruitment; selection; placement; orientation; training; performance appraisal; promotion; compensation,process,case-study diagnosis,recruitment,0.90,false
cq_000035_8374b1de11,Business Finance,financing decision,Financing Decision,,,financing decision; capital structure; debt; equity; financial risk; cost of capital,definition,case-study diagnosis,financial risk,0.59,true
cq_000036_b70e95e7e7,Planning,planning process,Planning Process,,,setting objectives; developing premises; identifying alternatives; evaluating alternatives; selecting an alternative; implementing plan; follow up,process,definition-based,types of plans,0.74,true
cq_000037_8ca4066900,Staffing,training and development,Training And Development,,,training; development; apprenticeship; internship; vestibule training; job rotation; case study,example,definition-based,types of plans,0.89,false
cq_000038_0c76e426d0,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,definition-based,environment,0.92,false
cq_000039_227b0b7b21,Entrepreneurship Development,need and characteristics,Need And Characteristics,,,need for entrepreneurship; characteristics; initiative; confidence; creativity; perseverance,feature,concept-to-example,desire,0.87,false
cq_000040_bb0068c9ef,Controlling,control process,Control Process,,,setting performance standards; measurement of performance; comparing performance; analysing deviations; critical point control; management by exception; corrective action,process,definition-based,types of plans,0.84,false
cq_000041_cf97dba986,Organising,divisional structure,Divisional Structure,,,,definition,statement true/false,delegation,0.35,true
cq_000042_9192846448,Staffing,selection,Selection,,,selection; employment test; interview; medical examination; reference check; job offer,definition,chronology/process order,selection,0.99,false
cq_000043_a21ebcc680,Planning,planning process,Planning Process,,,setting objectives; developing premises; identifying alternatives; evaluating alternatives; selecting an alternative; implementing plan; follow up,process,chronology/process order,planning,0.99,false
cq_000044_f25709632d,Business Finance,financing decision,Financing Decision,,,financing decision; capital structure; debt; equity; financial risk; cost of capital,definition,case-study diagnosis,financial risk,0.71,true
cq_000045_68f49d922c,Entrepreneurship Development,need and characteristics,Need And Characteristics,,,need for entrepreneurship; characteristics; initiative; confidence; creativity; perseverance,feature,definition-based,entrepreneurship,0.65,true
cq_000046_a912619cb6,Principles of Management,Principle of Authority and Responsibility,Principle Of Authority And Responsibility,,,,principle,statement true/false,delegation,0.34,true
cq_000047_0ceb6fbe8b,Nature and Significance of Management,features of management,Features Of Management,,,features; goal oriented; pervasive; multidimensional; continuous process; group activity; dynamic function,process,definition-based,management,0.52,true
cq_000048_6e134066aa,Business Environment,meaning and features,Meaning And Features,,,business environment; specific forces; general forces; dynamic; uncertainty; complexity,feature,definition-based,environment,0.99,false
cq_000049_13e17f3d01,Consumer Protection,consumer rights,Consumer Rights,,,right to safety; right to be informed; right to choose; right to be heard; right to seek redressal; right to consumer education,definition,statement true/false,maslow hierarchy,0.99,false
cq_000050_2ea6aa09ad,Planning,types of plans,Types Of Plans,,,objectives; strategy; policy; procedure; method; rule; programme; budget,process,statement true/false,types of plans,0.89,false
cq_000051_d6830d1370,Business Finance,financing decision,Financing Decision,,,financing decision; capital structure; debt; equity; financial risk; cost of capital,definition,statement true/false,financial risk,0.76,false
cq_000052_cb9e89d6b0,Staffing,staffing process,Staffing Process,,,estimating manpower requirements; recruitment; selection; placement; orientation; training; performance appraisal; promotion; compensation,process,definition-based,staffing,0.67,true
cq_000053_4969b1cd6f,Directing,meaning and importance,Meaning And Importance,,,directing; supervision; motivation; leadership; communication; integrates efforts,definition,feature-identification,directing,0.58,true
cq_000054_539947ac7d,Directing,motivation,Motivation,,,motivation; motive; incentive; positive motivation; negative motivation; financial incentives; non financial incentives,definition,feature-identification,types of plans,0.35,true
cq_000055_d93685f6db,Organising,organisation structure,Organisation Structure,,,organisation structure; span of management; functional structure; divisional structure,definition,definition-based,structure,0.99,false
cq_000056_2d3b24120e,Business Finance,financing decision,Financing Decision,,,financing decision; capital structure; debt; equity; financial risk; cost of capital,definition,definition-based,financial risk,0.71,true
cq_000057_4faa8a1b8b,Marketing,marketing management philosophies,Marketing Management Philosophies,,,production concept; product concept; selling concept; marketing concept; societal marketing,definition,definition-based,marketing,0.87,false
cq_000058_690b278429,Nature and Significance of Management,meaning and objectives,Meaning And Objectives,,,management; objectives; organisational objectives; social objectives; personal objectives,definition,definition-based,types of plans,0.49,true
cq_000059_e34d44f637,Marketing,marketing meaning,Marketing Meaning,,,marketing; market; customer needs; exchange mechanism; marketing management,definition,match-the-following,marketing,0.48,true
cq_000060_e52e5a7fbd,Marketing,promotion,Promotion,,,promotion; advertising; personal selling; sales promotion; public relations,definition,statement true/false,promotion mix,0.99,false
cq_000061_a42c36af88,Staffing,staffing process,Staffing Process,,,estimating manpower requirements; recruitment; selection; placement; orientation; training; performance appraisal; promotion; compensation,process,definition-based,staffing,0.92,false
cq_000062_33a078b1b0,Principles of Management,Fayol principles,Fayol Principles,,,fayol; division of work; authority; discipline; unity of command; unity of direction; scalar chain; esprit de corps,principle,match-the-following,scalar chain,0.99,false
cq_000063_a4c2bec4d5,Directing,meaning and importance,Meaning And Importance,,,directing; supervision; motivation; leadership; communication; integrates efforts,definition,definition-based,directing,0.84,false
cq_000064_ac7c72f1d7,Organising,delegation,Delegation,,,delegation; authority; responsibility; accountability; absoluteness of accountability,definition,definition-based,delegation,0.56,true
cq_000065_6c2fc7acde,Organising,importance,Importance,,,benefits of specialisation; clarity in working relationships; optimum utilisation; adaptation to change; effective administration,definition,match-the-following,entrepreneur characteristics,0.99,false
cq_000066_198b55100b,Controlling,control process,Control Process,,,setting performance standards; measurement of performance; comparing performance; analysing deviations; critical point control; management by exception; corrective action,process,definition-based,control,0.99,false
cq_000067_3e26a5817d,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,feature-identification,environment,0.83,false
cq_000068_d22e4041ce,Entrepreneurship Development,concept and functions,Concept And Functions,,,entrepreneurship; entrepreneur; risk bearing; innovation; organisation building,definition,feature-identification,entrepreneurship,0.65,true
cq_000069_3845802497,Organising,organisation structure,Organisation Structure,,,organisation structure; span of management; functional structure; divisional structure,definition,definition-based,structure,0.99,false
cq_000070_7fa58d4b80,Organising,delegation,Delegation,,,delegation; authority; responsibility; accountability; absoluteness of accountability,definition,statement true/false,delegation,0.56,true
cq_000071_46af12988d,Staffing,recruitment,Recruitment,,,internal sources; external sources; transfer; promotion; advertisement; employment exchange; campus recruitment,definition,definition-based,recruitment,0.99,false
cq_000072_c240cae0dc,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,feature-identification,environment,0.99,false
cq_000073_f8f7359dba,Organising,formal and informal organisation,Formal And Informal Organisation,,,formal organisation; informal organisation; grapevine; official relationships,definition,feature-identification,formal/informal organisation,0.92,false
cq_000074_86e5e0917a,Nature and Significance of Management,meaning and objectives,Meaning And Objectives,,,management; objectives; organisational objectives; social objectives; personal objectives,definition,chronology/process order,types of plans,0.79,false
cq_000075_281f59cd99,Staffing,training and development,Training And Development,,,training; development; apprenticeship; internship; vestibule training; job rotation; case study,example,definition-based,training,0.99,false
cq_000076_beb806befb,Consumer Protection,NGOs and relief,Ngos And Relief,,,non-government organisation; ngo; consumer organisation; relief; compensation,definition,statement true/false,consumer,0.99,false
cq_000077_bb46d33d3a,Principles of Management,nature of principles,Nature Of Principles,,,principles of management; general guidelines; flexible; contingent; behavioural,principle,feature-identification,entrepreneur characteristics,0.55,true
cq_000078_aa87461207,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,definition-based,environment,0.86,false
cq_000079_c8570caeb1,Nature and Significance of Management,features of management,Features Of Management,,,features; goal oriented; pervasive; multidimensional; continuous process; group activity; dynamic function,process,feature-identification,management,0.59,true
cq_000080_eac8477a60,Business Finance,financial planning,Financial Planning,,,financial planning; forecasting; fund requirement; availability of funds,definition,case-study diagnosis,financial risk,0.82,false
cq_000081_288560882f,Nature and Significance of Management,coordination,Coordination,,,coordination; essence of management; integrates group efforts,definition,statement true/false,management,0.63,true
cq_000082_1284f5918d,Staffing,recruitment,Recruitment,,,internal sources; external sources; transfer; promotion; advertisement; employment exchange; campus recruitment,definition,feature-identification,recruitment,0.92,false
cq_000083_0fbbc0edd1,Planning,planning process,Planning Process,,,setting objectives; developing premises; identifying alternatives; evaluating alternatives; selecting an alternative; implementing plan; follow up,process,statement true/false,financial risk,0.68,true
cq_000084_3ac15497c2,Organising,organisation structure,Organisation Structure,,,organisation structure; span of management; functional structure; divisional structure,definition,definition-based,structure,0.99,false
cq_000085_a416c3fee3,Marketing,product,Product,,,product; branding; brand name; brand mark; trademark; labelling; packaging,definition,match-the-following,product mix,0.99,false
cq_000086_e5aa261c64,Principles of Management,Taylor scientific management,Taylor Scientific Management,,,taylor; scientific management; mental revolution; science not rule of thumb; harmony not discord,principle,principle-identification,types of plans,0.99,false
cq_000087_b33981fefc,Principles of Management,Fayol principles,Fayol Principles,,,fayol; division of work; authority; discipline; unity of command; unity of direction; scalar chain; esprit de corps,principle,match-the-following,unity of command,0.99,false
cq_000088_20a0bb08bd,Principles of Management,techniques of scientific management,Techniques Of Scientific Management,,,functional foremanship; standardisation; simplification; method study; motion study; time study; fatigue study; differential piece wage,definition,feature-identification,scientific management,0.84,false
cq_000089_90592b8695,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,definition-based,dimension,0.99,false
cq_000090_70eae176c2,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,example-to-concept,environment,0.99,false
cq_000091_df73ccf1b2,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,example-to-concept,financial risk,0.99,false
cq_000092_3d6ba8423b,Business Environment,meaning and features,Meaning And Features,,,business environment; specific forces; general forces; dynamic; uncertainty; complexity,feature,definition-based,environment,0.96,false
cq_000093_eb44c7ed61,Planning,planning process,Planning Process,,,setting objectives; developing premises; identifying alternatives; evaluating alternatives; selecting an alternative; implementing plan; follow up,process,chronology/process order,types of plans,0.99,false
cq_000094_d98d7b9654,Staffing,selection,Selection,,,selection; employment test; interview; medical examination; reference check; job offer,definition,chronology/process order,selection,0.99,false
cq_000095_10017bffdf,Staffing,training and development,Training And Development,,,training; development; apprenticeship; internship; vestibule training; job rotation; case study,example,definition-based,training,0.99,false
cq_000096_f735f19c82,Staffing,staffing process,Staffing Process,,,estimating manpower requirements; recruitment; selection; placement; orientation; training; performance appraisal; promotion; compensation,process,match-the-following,recruitment,0.61,true
cq_000097_0cc37af34f,Directing,meaning and importance,Meaning And Importance,,,directing; supervision; motivation; leadership; communication; integrates efforts,definition,definition-based,leadership style,0.99,false
cq_000098_2fc8f9ef78,Directing,Maslow hierarchy,Maslow Hierarchy,,,maslow; physiological; safety; belongingness; esteem; self actualisation,definition,chronology/process order,maslow hierarchy,0.99,false
cq_000099_e940a91aff,Directing,meaning and importance,Meaning And Importance,,,directing; supervision; motivation; leadership; communication; integrates efforts,definition,definition-based,leadership style,0.99,false
cq_000100_24e41575ac,Controlling,control process,Control Process,,,setting performance standards; measurement of performance; comparing performance; analysing deviations; critical point control; management by exception; corrective action,process,feature-identification,discipline,0.74,true
cq_000101_e2de6250b4,Controlling,control process,Control Process,,,setting performance standards; measurement of performance; comparing performance; analysing deviations; critical point control; management by exception; corrective action,process,chronology/process order,controlling,0.92,false
cq_000102_135f9a40bc,Controlling,control process,Control Process,,,setting performance standards; measurement of performance; comparing performance; analysing deviations; critical point control; management by exception; corrective action,process,example-to-concept,types of plans,0.87,false
cq_000103_baa48c8ab2,Business Finance,financial management,Financial Management,,,financial management; wealth maximisation; profit maximisation; financial decisions,definition,statement true/false,price mix,0.43,true
cq_000104_731a81087f,Consumer Protection,legal redressal,Legal Redressal,,,consumer protection act; district commission; state commission; national commission; redressal,definition,chronology/process order,consumer redressal,0.99,false
cq_000105_37600d23c6,Consumer Protection,importance,Importance,,,consumer protection; consumer interest; business responsibility; consumer awareness,definition,definition-based,delegation,0.99,false
cq_000106_c8aa9a55fe,Consumer Protection,consumer rights,Consumer Rights,,,right to safety; right to be informed; right to choose; right to be heard; right to seek redressal; right to consumer education,definition,definition-based,consumer rights,0.99,false
cq_000107_3517122839,Primary Market,Floatation Methods,Floatation Methods,,,,definition,definition-based,types of plans,0.35,true
cq_000108_a6f3bb1dc3,Organising,delegation,Delegation,,,delegation; authority; responsibility; accountability; absoluteness of accountability,definition,match-the-following,delegation,0.96,false
cq_000109_861980b916,Organising,meaning and process,Meaning And Process,,,organising; identification of activities; departmentalisation; assignment of duties; reporting relationships,process,chronology/process order,division of work,0.99,false
cq_000110_092070c4ce,Organising,formal and informal organisation,Formal And Informal Organisation,,,formal organisation; informal organisation; grapevine; official relationships,definition,feature-identification,types of plans,0.79,false
cq_000111_c2dbf0b1e8,Organising,formal and informal organisation,Formal And Informal Organisation,,,formal organisation; informal organisation; grapevine; official relationships,definition,principle-identification,formal/informal organisation,0.92,false
cq_000112_6c884cc403,Financial Markets,Trading and Settlement Procedures,Trading And Settlement Procedures,,,,process,chronology/process order,types of plans,0.36,true
cq_000113_1b5770a955,Financial Markets,Capital and Financial Markets,Capital And Financial Markets,,,,definition,definition-based,market,0.36,true
cq_000114_fbd8287fe1,Entrepreneurship Development,need and characteristics,Need And Characteristics,,,need for entrepreneurship; characteristics; initiative; confidence; creativity; perseverance,feature,definition-based,entrepreneur characteristics,0.43,true
cq_000115_0b2f85efcc,Nature and Significance of Management,functions of management,Functions Of Management,,,planning; organising; staffing; directing; controlling; coordination,definition,definition-based,functions,0.82,false
cq_000116_07add2fa96,Business Finance,financial management,Financial Management,,,financial management; wealth maximisation; profit maximisation; financial decisions,definition,definition-based,types of plans,0.54,true
cq_000117_7a1df0ee5f,Business Finance,financial planning,Financial Planning,,,financial planning; forecasting; fund requirement; availability of funds,definition,definition-based,types of plans,0.92,false
cq_000118_925cc1cae8,Business Finance,Financing Decision,Financing Decision,,,,definition,definition-based,financial risk,0.35,true
cq_000119_8a5a1f7776,Nature and Significance of Management,coordination,Coordination,,,coordination; essence of management; integrates group efforts,definition,principle-identification,financial risk,0.92,false
cq_000120_f2e1533107,Nature and Significance of Management,meaning and objectives,Meaning And Objectives,,,management; objectives; organisational objectives; social objectives; personal objectives,definition,definition-based,types of plans,0.61,true
cq_000121_9b9dfb5d4b,Nature and Significance of Management,features of management,Features Of Management,,,features; goal oriented; pervasive; multidimensional; continuous process; group activity; dynamic function,process,statement true/false,management,0.99,false
cq_000122_06efb8404f,Marketing,marketing management philosophies,Marketing Management Philosophies,,,production concept; product concept; selling concept; marketing concept; societal marketing,definition,definition-based,marketing,0.63,true
cq_000123_d6e3449bdf,Staffing,selection,Selection,,,selection; employment test; interview; medical examination; reference check; job offer,definition,match-the-following,selection,0.66,true
cq_000124_8b5b60d073,Organising,organisation structure,Organisation Structure,,,organisation structure; span of management; functional structure; divisional structure,definition,definition-based,division of work,0.87,false
cq_000125_62765cabc5,Marketing,marketing mix,Marketing Mix,,,marketing mix; four ps; product; price; place; promotion,definition,case-study diagnosis,marketing mix,0.63,true
cq_000126_20dc23194d,Marketing,marketing mix,Marketing Mix,,,marketing mix; four ps; product; price; place; promotion,definition,statement true/false,price mix,0.99,false
cq_000127_08cbb3935b,Marketing,marketing mix,Marketing Mix,,,marketing mix; four ps; product; price; place; promotion,definition,statement true/false,price mix,0.99,false
cq_000128_d56861cafd,Marketing,marketing mix,Marketing Mix,,,marketing mix; four ps; product; price; place; promotion,definition,statement true/false,price mix,0.99,false
cq_000129_b7229b2774,Marketing,promotion,Promotion,,,promotion; advertising; personal selling; sales promotion; public relations,definition,statement true/false,promotion mix,0.79,false
cq_000130_1f3b78fe71,Nature and Significance of Management,functions of management,Functions Of Management,,,planning; organising; staffing; directing; controlling; coordination,definition,case-study diagnosis,management,0.99,false
cq_000131_6ce6562360,Planning,importance,Importance,,,importance of planning; reduces uncertainty; reduces overlapping; innovative ideas; decision making,definition,statement true/false,goals,0.99,false
cq_000132_4828d86656,Planning,importance,Importance,,,importance of planning; reduces uncertainty; reduces overlapping; innovative ideas; decision making,definition,statement true/false,managerial,0.99,false
cq_000133_f3d3fd5292,Planning,importance,Importance,,,importance of planning; reduces uncertainty; reduces overlapping; innovative ideas; decision making,definition,statement true/false,types of plans,0.99,false
cq_000134_007f79e827,Planning,importance,Importance,,,importance of planning; reduces uncertainty; reduces overlapping; innovative ideas; decision making,definition,statement true/false,reduces,0.99,false
cq_000135_97ce943ede,Directing,supervision,Supervision,,,supervision; supervisor; linking pin; guidance,definition,feature-identification,types of plans,0.35,true
cq_000136_6de45bad78,Directing,communication,Communication,,,communication; encoding; decoding; feedback; formal communication; informal communication; barriers; semantic; psychological; organisational; personal,definition,definition-based,communication barriers,0.99,false
cq_000137_b3e528ba4e,Nature and Significance of Management,features of management,Features Of Management,,,features; goal oriented; pervasive; multidimensional; continuous process; group activity; dynamic function,process,statement true/false,management,0.83,false
cq_000138_7686fd6152,Directing,meaning and importance,Meaning And Importance,,,directing; supervision; motivation; leadership; communication; integrates efforts,definition,definition-based,directing,0.99,false
cq_000139_6ac1f16aad,Organising,meaning and process,Meaning And Process,,,organising; identification of activities; departmentalisation; assignment of duties; reporting relationships,process,chronology/process order,organising,0.90,false
cq_000140_c7778196ba,Entrepreneurship Development,concept and functions,Concept And Functions,,,entrepreneurship; entrepreneur; risk bearing; innovation; organisation building,definition,definition-based,entrepreneurship,0.54,true
cq_000141_db98eb7a5e,Nature and Significance of Management,functions of management,Functions Of Management,,,planning; organising; staffing; directing; controlling; coordination,definition,definition-based,types of plans,0.57,true
cq_000142_2ddd2c8e59,Nature and Significance of Management,functions of management,Functions Of Management,,,planning; organising; staffing; directing; controlling; coordination,definition,definition-based,management,0.98,false
cq_000143_db2f6063b1,Marketing,product,Product,,,product; branding; brand name; brand mark; trademark; labelling; packaging,definition,definition-based,product,0.99,false
cq_000144_d4153814d3,Nature and Significance of Management,features of a profession,Features Of A Profession,,,,feature,feature-identification,features,0.35,true
cq_000145_7b67b63e91,Staffing,staffing process,Staffing Process,,,estimating manpower requirements; recruitment; selection; placement; orientation; training; performance appraisal; promotion; compensation,process,feature-identification,delegation,0.99,false
cq_000146_cf9ed63eb8,Directing,supervision,Supervision,,,supervision; supervisor; linking pin; guidance,definition,match-the-following,leadership style,0.68,true
cq_000147_0379c01715,Organising,decentralisation,Decentralisation,,,decentralisation; centralisation; decision making authority; initiative,definition,definition-based,centralisation/decentralisation,0.85,false
cq_000148_d734ccf2d8,Controlling,relationship with planning,Relationship With Planning,,,planning and controlling; interdependent; forward looking; backward looking,definition,definition-based,controlling,0.80,false
cq_000149_7eecf60620,Directing,leadership,Leadership,,,leadership; leader; autocratic; democratic; laissez faire; qualities of leader,definition,feature-identification,leadership style,0.48,true
cq_000150_69452b4d2a,Directing,motivation,Motivation,,,motivation; motive; incentive; positive motivation; negative motivation; financial incentives; non financial incentives,definition,chronology/process order,motivation,0.61,true
cq_000151_5be58a43ad,Consumer Protection,importance,Importance,,,consumer protection; consumer interest; business responsibility; consumer awareness,definition,definition-based,delegation,0.99,false
cq_000152_f4369a70de,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,definition-based,environment,0.90,false
cq_000153_7e6c05d6ec,Nature and Significance of Management,importance of management,Importance Of Management,,,importance; efficiency; effectiveness; dynamic organisation; personal objectives,definition,definition-based,management,0.51,true
cq_000154_b9838ce30f,Consumer Protection,importance,Importance,,,consumer protection; consumer interest; business responsibility; consumer awareness,definition,definition-based,consumer redressal,0.76,false
cq_000155_e745af6253,Controlling,meaning and importance,Meaning And Importance,,,controlling; standards; deviation; corrective action; goal oriented,definition,definition-based,entrepreneur characteristics,0.94,false
cq_000156_3df6785270,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,match-the-following,financial risk,0.99,false
cq_000157_a661734d4b,Planning,types of plans,Types Of Plans,,,objectives; strategy; policy; procedure; method; rule; programme; budget,process,definition-based,types of plans,0.97,false
cq_000158_08a8fefa4b,Controlling,control process,Control Process,,,setting performance standards; measurement of performance; comparing performance; analysing deviations; critical point control; management by exception; corrective action,process,chronology/process order,controlling,0.86,false
cq_000159_f53690c3f9,Planning,planning process,Planning Process,,,setting objectives; developing premises; identifying alternatives; evaluating alternatives; selecting an alternative; implementing plan; follow up,process,chronology/process order,types of plans,0.89,false
cq_000160_e371519197,Principles of Management,Fayol principles,Fayol Principles,,,fayol; division of work; authority; discipline; unity of command; unity of direction; scalar chain; esprit de corps,principle,match-the-following,equity,0.99,false
cq_000161_05031e2848,Nature and Significance of Management,meaning and objectives,Meaning And Objectives,,,management; objectives; organisational objectives; social objectives; personal objectives,definition,definition-based,types of plans,0.99,false
cq_000162_afeb7739f4,Business Environment,dimensions,Dimensions,,,economic environment; social environment; technological environment; political environment; legal environment,definition,principle-identification,types of plans,0.77,false
cq_000163_fc8c0e8b07,Staffing,Compensation and Benefits,Compensation And Benefits,,,,definition,definition-based,compensation,0.33,true
cq_000164_bce212b09b,Organising,importance,Importance,,,benefits of specialisation; clarity in working relationships; optimum utilisation; adaptation to change; effective administration,definition,match-the-following,entrepreneur characteristics,0.99,false
cq_000165_d836648251,Nature and Significance of Management,features of management,Features Of Management,,,features; goal oriented; pervasive; multidimensional; continuous process; group activity; dynamic function,process,feature-identification,management,0.99,false
cq_000166_3ed42bb8a6,Nature and Significance of Management,functions of management,Functions Of Management,,,planning; organising; staffing; directing; controlling; coordination,definition,definition-based,management,0.92,false
cq_000167_61db4b16ef,Controlling,relationship with planning,Relationship With Planning,,,planning and controlling; interdependent; forward looking; backward looking,definition,definition-based,controlling,0.71,true
cq_000168_b511f3692a,Business Finance,working capital,Working Capital,,,working capital; operating cycle; raw material; inventory; receivables; credit policy,definition,principle-identification,types of plans,0.48,true
cq_000169_160b6a9beb,Nature and Significance of Management,functions of management,Functions Of Management,,,planning; organising; staffing; directing; controlling; coordination,definition,chronology/process order,types of plans,0.98,false
cq_000170_e6c64ebcdf,Directing,motivation,Motivation,,,motivation; motive; incentive; positive motivation; negative motivation; financial incentives; non financial incentives,definition,definition-based,motivation,0.74,true
cq_000171_4b28970530,Planning,types of plans,Types Of Plans,,,objectives; strategy; policy; procedure; method; rule; programme; budget,process,match-the-following,types of plans,0.99,false
