source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,,111309453a64aa7d3d,366,"Q.47
Read the passage and answer the following questions:
GreenTech Solutions, a renewable energy company, focuses on achieving
financial stability and growth through robust financial management. The
company ensures efficient allocation of business finance to expand
operations, adopt new technology, and maintain a competitive edge. Its
financial planning is centered on long-term sustainability, balancing
profitability with eco-friendly initiatives.
 

--- Page 13 ---
To optimize its capital structure, GreenTech maintains a balanced mix of
debt and equity, minimizing the cost of capital while ensuring financial
flexibility. The firm undertakes thorough capital budgeting processes to
evaluate projects like setting up new solar farms, ensuring only viable
investments are pursued. Tools like Net Present Value (NPV) and Internal
Rate of Return (IRR) guide decision-making.
 
GreenTech's dividend decision aligns with its growth strategy. While
retaining a significant portion of earnings for reinvestment, the company
ensures consistent dividends to satisfy shareholders. This approach
strengthens investor confidence while funding expansion plans.
 
Efficient working capital management ensures smooth day-to-day
operations. By optimizing cash flow, managing inventory, and negotiating
favorable credit terms with suppliers, GreenTech avoids liquidity issues
while meeting short-term obligations.
 
Through prudent financial strategies, GreenTech achieves its goal of
profitability and sustainability, setting an example in the renewable energy
sector.
 
Which process evaluates the viability of long-term investment projects?",,,,,,,,,case-based,medium,Unit IX,Business Finance,financing decision,"capital structure, debt, equity, cost of capital",Business Finance :: financing decision,0.88,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,ting,1462750e544fa489cb,2,"Q.1
Planning is an important function of management which involves defining
the following:",,,Setting objectives,"Deciding on plans, actions and strategies to achieve organisational goals",Allocating and arranging resources,Motivating and inspiring people to perform better Choose the correct answer from the options given below:,,,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,"management, objectives",Nature and Significance of Management :: meaning and objectives,0.69,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,,15c28abd92018262f1,198,"Q.26
Which of the following are identified as features of a profession?",,,Well-defined body of knowledge,Existence of theoretical knowledge,Entry restricted on the basis of examination or education,Dominance of service motive Choose the correct answer from the options given below:,,,direct,easy,Unit I,Nature and Significance of Management,features of management,features,Nature and Significance of Management :: features of management,0.34,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22,,1814a352a30e0ed2db,274,"Q.35
Which process is referred to as the process of learning opportunities
designed to help employees grow?",,,,,,,,,direct,easy,Unit III,Business Environment,importance of environment,opportunities,Business Environment :: importance of environment,0.34,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,,1935dba308ce4bc28c,254,"Q.33
Which of the following factor is NOT responsible for emergence of
entrepreneurship?",,,,,,,,,direct,easy,Unit XII,Entrepreneurship Development,concept and functions,"entrepreneurship, entrepreneur",Entrepreneurship Development :: concept and functions,0.59,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22,,1a64d801053f698d00,178,"Q.23
Identify the management function focusing on assigning duties, grouping
tasks, establishing authority and allocating resources required to carry out",,,specific plan.,,,,,,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,management,Nature and Significance of Management :: meaning and objectives,0.38,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,,1a66524a04cdd02b14,62,"Q.9
Which of the following is a function that brings the management cycle back
to the planning function?",,,,,,,,,direct,easy,Unit IV,Planning,meaning and features,planning,Planning :: meaning and features,0.43,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,26-05-2025,26,,1a78f3cc4739e7c94e,266,"Q.34
Arrange the following in the correct sequence of the organizing process.",,,Grouping the activities into workable units,Workers are placed under the charge of an individual,Identification and classification of activities,Establishing a hierarchical structure and making provision for effective coordination Choose the correct answer from the options given below:,,,chronology,easy,Unit I,Nature and Significance of Management,coordination,coordination,Nature and Significance of Management :: coordination,0.37,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_d9c8e58d33200d54.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16,,1aba397d15f0a44b34,210,"Q.27 Match List-I with List-II
 
 
List-I
List-II",,,Job Enrichment (I) Giving more autonomy and powers to subordinates.,Job security (II) Involving employees in decision making of the issues related to them.,Employee Empowerment (III) Concerned with certain stability about future income and work.,"Employee participation (IV) Jobs include a greater variety of work, and require a higher level of knowledge and skill. --- Page 7 --- Choose the correct answer from the options given below:",,,match-the-following,medium,Unit IV,Planning,importance,decision making,Planning :: importance,0.40,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,26-05-2025,26,,1adbcfc5ff6a484dc3,202,"Q.26
List-I
List-II
Features of
Business
Environment
Example",,,Relative (I) Difficult to comprehend which factor is responsible for the increase in demand of a product.,Complex (II) Difficult to predict future development in Information Technology.,Dynamic (III) Demand of Saree is more in South India than that of North India.,Uncertain (IV) Fast Technological upgradation and rising competition Choose the correct answer from the options given below:,,,application,easy,Unit III,Business Environment,meaning and features,"business environment, dynamic",Business Environment :: meaning and features,0.64,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_d9c8e58d33200d54.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22,,1bd21ddbfea5e40a3a,386,"Q.49
Passage 2: The Software Giant – Wipro Technology
On the basis of the following passage, answer the Q. No. 46 to Q. No. 50
It’s not quite there yet, but the goal is certainly within reach. One of India’s
largest IT solutions providers, Wipro Technologies, is taking on the likes of
IBM and Accenture in its effort to be included among the largest and most
successful technology services companies in the world. Restructuring
Wipro was considered the most important step in becoming a global giant,
driven by the goal towards improved customer orientation. During the past
few months, Wipro separated itself into several subsidiaries by product
line: telecommunications, engineering, financial services, etc. Each
subsidiary brings in about $300 million in annual earnings and is self-
sufficient with their own accounting books, personnel and administrative
functions. This policy of company reduces the workload as well as
enhances productivity because of the specific workers performing a
specific job on a regular basis. Such a practice at Wipro further resulted in
avoidance of duplication of work, helps in preventing confusion and
minimising the wastage of efforts. Wipro shifted from a centralised to
decentralised management system. All responsibilities for growth lay with
the management of each entity. “We tried to de-layer the organisation and
empower our business leaders with a much higher degree of growth
responsibility,” said Premji. This practice gives the employee requisite time
to explore areas for growth and the opportunity to innovate thereby
strengthening the company’s competitive position. The authority dispersal
develops in the subordinate the ability to deal effectively with challenges
and helps them to realise their full potential.
""Such a practice at Wipro further resulted in avoidance of duplication of
work and helps in preventing confusion and minimising wastage of
efforts"". Identify the significance of the function of management
highlighted in the aforesaid statement.",,,,,,,,,case-based,hard,Unit V,Organising,delegation,"authority, responsibility",Organising :: delegation,0.58,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22,,2062b48a47bd316d8a,282,"Q.36
The concept of marketing is based on the pillars arranged in the following
sequence:",,,Satisfying the needs of the target market better than the competitors,Understanding the needs and wants of customers in the target market.,Identification of the market or customer who is chosen as the target of a marketing effort.,Development of products or services for satisfying the needs of the target market. Choose the correct answer from the options given below:,,,chronology,easy,Unit X,Marketing,marketing meaning,"marketing, market",Marketing :: marketing meaning,0.67,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,21abf26fc3d25885a5,58,"Q.8
Which of the following roles is performed by middle-level management?",,,,,,,,,direct,easy,Unit I,Nature and Significance of Management,levels of management,middle level,Nature and Significance of Management :: levels of management,0.54,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,2353646004a1f085d5,90,"Q.12
Which among the following aims at smooth operations by focusing on fund
requirements and their availability in the light of financial decisions?",,,,,,,,,direct,easy,Unit IX,Business Finance,financial planning,fund requirement,Business Finance :: financial planning,0.47,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,13-05-2025,13,,24bebcd819494e676a,206,"Q.27
Manju was shopping in a grocery store. She picked up a product and
started searching for the FPO mark on the package. What was the product
in her hand?",,,,,,,,,direct,easy,Unit X,Marketing,product,product,Marketing :: product,0.38,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_34ea4f840edfd6e5.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,252aaa35f2c449a289,362,"Q.46
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after
the launch, the sales were not meeting expectations, and employee morale
seemed low.
 
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
 
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any conflicts. Her presence ensured that tasks were
completed on time and in alignment with the company’s objectives. She
also provided feedback and recognized the efforts of team members, which
boosted their morale.
 
Rahul implemented a reward system where employees exceeding their
targets would receive incentives. Additionally, training sessions were
organized to improve employees’ skills and confidence in handling the
advanced features of the new product.
Rahul identified that there was a lack of proper communication between
the marketing and production teams"". Which concept of management is
lacking here in these lines?",,,,,,,,,case-based,hard,Unit I,Nature and Significance of Management,meaning and objectives,"management, objectives",Nature and Significance of Management :: meaning and objectives,0.67,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22,,259bf4b6b6742b0a29,234,"Q.30
""A never say die"" attitude indicates which competency of an entrepreneur?",,,,,,,,,direct,easy,Unit XII,Entrepreneurship Development,concept and functions,entrepreneur,Entrepreneurship Development :: concept and functions,0.34,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,26-05-2025,26,,25e06098f109886d0a,170,"Q.22
Which of the following are correct statements regarding leadership?",,,Influences behaviour of people,Helps in handling conflicts,Conforms that actual performance meets standards.,Helps in introduction of required changes Choose the correct answer from the options given below:,,,statement-based,easy,Unit VII,Directing,leadership,"leadership, leader",Directing :: leadership,0.58,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_d9c8e58d33200d54.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,16-05-2025,16,,27a45955f0d1748341,370,"Q.47
Read the passage and answer the following questions.
 
Neha is the founder of EcoFresh, a company that produces organic
skincare products. With growing consumer interest in eco-friendly
products, Neha decides to launch a new herbal face cream. To ensure the
success of this product, Neha carefully designs her marketing strategy by
considering the various elements of the marketing mix.
 
Neha emphasizes the uniqueness of the product by highlighting its 100%
organic ingredients and chemical-free formulation. She also ensures
attractive packaging made from biodegradable materials to align with the
eco-friendly image of the brand.
 
After conducting market research, Neha decides to use a competitive
pricing strategy. This strategy positions the product as high-quality yet
reasonably priced.

--- Page 13 ---
 
To ensure availability, Neha uses a multi-channel distribution strategy. The
cream is sold through physical retail stores, online platforms, and
EcoFresh's exclusive website.
 
For promotion, Neha employs a mix of strategies. She launches a social
media campaign showcasing the benefits of the cream and collaborates
with beauty influencers to create awareness. Additionally, she organizes
free product trials at retail outlets and offers discounts for first-time
buyers.
 
Within six months of launch, the herbal face cream becomes one of
EcoFresh's best-selling products. The marketing mix plays a crucial role in
this success by effectively addressing customer needs, ensuring product
accessibility, and building brand awareness.
What is the key goal of the marketing mix?",,,,,,,,,case-based,medium,Unit X,Marketing,marketing mix,"marketing mix, product, price, promotion",Marketing :: marketing mix,0.83,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_bc8d4dd1ac49b6b6.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22,,2889ef4e93fa4c8dbb,258,Q.33,,,statement of expected results expressed in numerical term which quantifies future facts and figures represent which type of plan?,,,,,,statement-based,easy,Unit II,Principles of Management,Fayol principles,,Principles of Management :: Fayol principles,0.13,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,yes
Dubuddy CUET Business Studies solved papers linked file,2025,27-05-2025,27,,28d1c2c154d834cea6,66,"Q.9
That part of a brand which can be recognized but is non-utterable is called:",,,,,,,,,direct,easy,Unit II,Principles of Management,Fayol principles,,Principles of Management :: Fayol principles,0.13,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_4a0707137e3b3267.pdf,yes
Dubuddy CUET Business Studies solved papers linked file,2025,26-05-2025,26,,2947de633041bb675f,82,"Q.11
Which of the following are the importance of Planning:",,,Planning provides direction,Planning reduces overlapping and wasteful activities --- Page 3 ---,Planning promotes innovative ideas,Planning reduces the risk of certainty Choose the correct answer from the options given below:,,,direct,easy,Unit IV,Planning,importance,"importance of planning, reduces overlapping, innovative ideas",Planning :: importance,0.80,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_d9c8e58d33200d54.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,26-05-2025,26,,29d4c3e5cf3561dede,178,"Q.23
List-I
List-II",,,Brand (I) Provides legal protection against its use by other firms.,Brand Name (II) Used for identification of product,Brand Mark (III) It is the verbal component which is spoken to identify the product.,Trade Mark (IV) It is recognized from a symbol or design but can not be spoken. Choose the correct answer from the options given below:,,,direct,medium,Unit X,Marketing,product,"product, brand name, brand mark",Marketing :: product,0.74,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_d9c8e58d33200d54.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,26-05-2025,26,,2ac512db88bf57c521,322,"Q.41
Read the following passage carefully and answer the given questions.
Apex Solutions, a mid-sized technology firm, recently embarked on a
mission to expand its workforce due to increased demand for its services.
The company's staffing process began with workforce planning, identifying
the need to hire 30 new employees across various departments, including
software development, sales, and customer support. The HR team outlined
the required qualifications, experience levels, and skill sets for each role.
 
The recruitment phase involved a mix of strategies. Apex Solutions posted
job advertisements on popular job boards and their company website.
They also leveraged employee referrals and collaborated with a recruitment
agency to attract a diverse pool of candidates. Within two weeks, they
received over 500 applications.
 
The selection process was meticulously designed to ensure the best fit.
Initial screening eliminated candidates who didn't meet the basic criteria.
Shortlisted candidates underwent online aptitude tests and technical
assessments. The top performers were invited for panel interviews, where
their problem-solving abilities, technical expertise, and cultural fit were
evaluated. Finally, background checks and reference verification were
conducted for the selected candidates.
 
By following a structured staffing process, Apex Solutions successfully
hired 30 new employees who aligned with the company's strategic goals.
This approach minimized hiring errors and enhanced team productivity.",,,,,,,,,case-based,medium,Unit VI,Staffing,selection,"selection, interview",Staffing :: selection,0.65,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-26-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_d9c8e58d33200d54.pdf,no
Dubuddy CUET Business Studies solved papers linked file,2025,22-05-2025,22,,2d058bc9187cd132cf,346,"Q.44
Passage 1: Detrimental debt
On the basis of this passage, answer the questions from Q. No. 41 to Q. No.
45
Even successful businesses have debt, but how much is too much?
Learning how to manage debt is what can put you ahead. Taking on the
right amount of debt can mean the difference between a business
struggling to survive and one that can respond nimbly to changing
economic or market conditions. A number of circumstances may justify
acquiring debt. As a general rule, borrowing makes the most sense when
you need to bolster cash flow or finance growth or expansion. But while
debt can provide the leverage you need to grow, too much debt can
strangle your business. So the question is: How much debt is too much?",,,"business that doesn’t grow dies. You’ve got to grow, but you’ve got to grow within the financial constraints of your business. What is the ideal capital structure a business needs in its industry to remain viable? The higher the volatility (in your industry), the less debt you should have. The smaller the volatility, the more debt you can afford. Consider the capital structure of a growing company, NextGen Ltd. Total Funds used Rs. 30 Lakh Interest rate is 10% p.a. Tax rate 30% EBIT Rs. 4 Lakh Nextgen Ltd. has an option to raise different amounts of debt: Situation I: No Debt Situation II: Rs. 10 Lakh Debt --- Page 12 --- Situation III: Rs. 20 Lakh Debt The EBT of NextGen Ltd with zero debt situation will be",,,,,,case-based,hard,Unit IX,Business Finance,financing decision,"capital structure, debt",Business Finance :: financing decision,0.70,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf,C:\Users\shrey\OneDrive\Documents\New project\data\raw\dubuddy.in_8221299975028d21.pdf,no
