chapter,subtopic,micro_concept,question_count,weighted_score,recency_score,example_question
Controlling,control process,types of plans,12,7.800000000000001,5.3625,"Q.45
Aditi is the manager of a growing manufacturing company called
ShineTech Pvt. Ltd. The company specializes in producing eco-friendly
household appliances. Over the past year, the company has faced several
challenges, including delayed deliveries, inconsistent product quality, and
rising costs. These issues impacted customer satisfaction and reduced
profits.
To address these challenges, Aditi decided to strengthen the controlling
function in the organization. She introduced a system of performance
standards, clearly defined goals, and a method to regularly monitor
progress. For instance, production efficiency was set at 95%, customer
complaints were to be reduced by 20%, and delivery deadlines had to be
met 95% of the time. She ensured that each department understood their
specific standards.
Aditi also implemented a weekly review system where the team could
assess their performance against the standards. Any deviations were
identified, and corrective actions were taken immediately. For instance,
when it was found that the quality control team was understaffed, Aditi
hired additional inspectors and provided training.
Moreover, Aditi used technology to track performance in real-time. She
introduced an automated system for inventory management to reduce
wastage and monitor production schedules closely. This system helped
ShineTech Pvt. Ltd. streamline operations and identify areas of
improvement quickly.
""When it was found that the quality control team was understaffed, Aditi
hired additional inspectors and provided training"". Which step of
management function is highlighted in these lines?"
Organising,formal and informal organisation,formal/informal organisation,12,7.800000000000001,6.3375,"Q.15
Informal organisation can be better understood with the help of the
following features:"
Controlling,control process,control,10,6.5,5.1675,"Q.24
Identify the advantage of Critical Point Control and Management by
Exception."
Entrepreneurship Development,need and characteristics,entrepreneurship,10,6.5,5.1675,It identifies critical problems which need timely action
Marketing,product,product,10,6.5,5.785,"Q.27
Manju was shopping in a grocery store. She picked up a product and
started searching for the FPO mark on the package. What was the product
in her hand?"
Planning,planning process,planning,10,6.5,4.4525,"Q.21
Choose the correct order of planning process."
Principles of Management,nature of principles,principles,10,6.5,4.9075,The application of principles of management is dependent upon the prevailing situation and has to be changed as per requirements. This defines which nature of principle of management?
Business Finance,working capital,types of plans,9,5.8500000000000005,4.7125,"""Standardisation refers to the process of setting standards for every business activity; it can be standardisation of process, raw material, time, product, machinery, methods or working conditions"". The phenomenon of standardisation was specified by:"
Consumer Protection,importance,consumer redressal,9,5.8500000000000005,4.7775,Which of the following cannot file a complaint under the consumer protection act 2019?
Consumer Protection,importance,delegation,9,5.8500000000000005,5.720000000000001,"Identify the importance of consumer protection discussed in the following lines - 'Business organisations make money by selling goods and providing services to consumers. Thus, consumers form an important group among the many stakeholders of business and like other stakeholders, their interest has to be well taken care of.'"
Controlling,relationship with planning,controlling,9,5.8500000000000005,5.4925,__________ ensures judging the accuracy of the standards.
Entrepreneurship Development,competencies and values,entrepreneur characteristics,9,5.8500000000000005,5.59,"Which of the following are the competencies of entrepreneurship? 

(A) Persistence 
(B) Assertiveness 
(C) Initiative 
(D) Information-seeking 

Choose the correct answer from the options given below:"
Nature and Significance of Management,levels of management,level,9,5.8500000000000005,4.875,"Anshu works in the capacity of Chief Executive Officer, responsible for formulating organizational goals and strategies.
At which level is Anshu working?"
Planning,importance,planning,9,5.8500000000000005,4.875,"Q.11
Which of the following are the importance of Planning:"
Business Finance,financial planning,types of plans,8,5.2,4.355,A proper matching of funds requirements and their availability is sought to be achieved by _______.
Consumer Protection,importance,consumer,8,5.2,4.485,"Due to the carelessness of surgeon, Harish passed away within a weekâs time after his spine surgery. Who cannot file a case in this case?"
Directing,motivation,motivation,8,5.2,5.2,"Arrange the following stages of motivation in order. 

 (A) Unsatisfied need 

 (B) Search behavior 

 (C) Drives 

 (D) Reduction of tension 

 Choose the correct answer from the options given below:"
Marketing,marketing management philosophies,marketing,8,5.2,3.835,"Q.10
Which among the following concept serves as a benchmark towards which
an organization strives to work?"
Marketing,product,marketing,8,5.2,3.77,"Q.9
That part of a brand which can be recognized but is non-utterable is called:"
Nature and Significance of Management,coordination,coordination,8,5.2,5.2,Which of the following is NOT a characteristic of coordination?
Planning,limitations,entrepreneur characteristics,8,5.2,4.225,"The Limitations of Planning are:
(A) It reduces creativity
(B) It works in a dynamic environment.
(C) It involves huge costs
(D) It is time-consuming

Choose the correct answer from the options given below:"
Principles of Management,Fayol principles,delegation,8,5.2,4.1275,"""The sales persons are allowed to give a maximum of 5% discount, whereas the decision to give an extra discount rests with Aahana"".
Identify the Principle of Management highlighted here."
Staffing,staffing process,staffing,8,5.2,4.8425,"Q.32
Which of the following is NOT an aspect of staffing?"
Business Finance,financial management,financial,7,4.55,3.835,"Q.12
Which among the following aims at smooth operations by focusing on fund
requirements and their availability in the light of financial decisions?"
Business Finance,fixed capital,financial risk,7,4.55,4.29,There is an increase in profit earned by equity shareholders because of the presence of fixed financial charges. This concept is:
Business Finance,investment decision,types of plans,7,4.55,4.1925,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Decisions | Factors affecting the Decisions |
| --- | --- |
| (A) Fixed Capital Decision. | (I) Diversification |
| (B) Capital Structure Decision | (II) Cash flows of the project |
| (C) Working Capital Decision | (III) Control on Business |
| (D) Capital budgeting decision | (IV) Business Cycle |

Choose the <b>correct</b> answer from the options given below:"
Controlling,meaning and importance,discipline,7,4.55,3.835,Which of the following is not the importance of controlling?
Controlling,relationship with planning,planning,7,4.55,3.9325,______ are referred to as inseparable twins of management.
Directing,meaning and importance,directing,7,4.55,4.1925,"Q.38
Which of the following is not the principle of directing?"
Directing,meaning and importance,leadership style,7,4.55,3.9325,Which of the following is a process of incitement or inducing subordinates to act in a desired manner to achieve organisational goals?
Entrepreneurship Development,need and characteristics,maslow hierarchy,7,4.55,3.4775,Which is not a need identified by Abraham Maslow?
Marketing,marketing mix,price mix,7,4.55,3.5425,"Q.49
Read the passage and answer the following questions.
 

--- Page 14 ---
Neha is the founder of EcoFresh, a company that produces organic
skincare products. With growing consumer interest in eco-friendly
products, Neha decides to launch a new herbal face cream. To ensure the
success of this product, Neha carefully designs her marketing strategy by
considering the various elements of the marketing mix.
 
Neha emphasizes the uniqueness of the product by highlighting its 100%
organic ingredients and chemical-free formulation. She also ensures
attractive packaging made from biodegradable materials to align with the
eco-friendly image of the brand.
 
After conducting market research, Neha decides to use a competitive
pricing strategy. This strategy positions the product as high-quality yet
reasonably priced.
 
To ensure availability, Neha uses a multi-channel distribution strategy. The
cream is sold through physical retail stores, online platforms, and
EcoFresh's exclusive website.
 
For promotion, Neha employs a mix of strategies. She launches a social
media campaign showcasing the benefits of the cream and collaborates
with beauty influencers to create awareness. Additionally, she organizes
free product trials at retail outlets and offers discounts for first-time
buyers.
 
Within six months of launch, the herbal face cream becomes one of
EcoFresh's best-selling products. The marketing mix plays a crucial role in
this success by effectively addressing customer needs, ensuring product
accessibility, and building brand awareness.
What promotional strategy was used at retail outlets?"
Nature and Significance of Management,functions of management,types of plans,7,4.55,4.55,"_______ involves setting objectives, developing appropriate courses of action and providing a rational approach to achieve these objectives."
Organising,organisation structure,division of work,7,4.55,2.99,Which of the following are advantages of functional structure of an organisation?
Business Finance,financial management,types of plans,6,3.9000000000000004,2.6975,Financial management aims at choosing the best investment and financing alternatives by focusing on their costs and benefits. Its objective is to:
Business Finance,investment decision,financial risk,6,3.9000000000000004,2.8275,Which of the following is not affected by the decision being considered by the management?
Directing,communication,types of plans,6,3.9000000000000004,3.64,Which of the following is a semantic barrier in communication?
Entrepreneurship Development,concept and functions,entrepreneurship,6,3.9000000000000004,3.64,"Q.30
""A never say die"" attitude indicates which competency of an entrepreneur?"
Entrepreneurship Development,process,development,6,3.9000000000000004,3.5425,"Arrange the following steps involved in setting up a business in a logical order.
(A) Resource Mobilisation
(B) Development of Product/Service idea
(C) Environmental scanning for entrepreneurial opportunities
(D) Assessment of feasibility of the idea and preparation of a business plan
Choose the correct answer from the options given below:"
Marketing,channels of distribution,place/channel,6,3.9000000000000004,3.64,The components of physical distribution are:
Marketing,pricing,price mix,6,3.9000000000000004,3.38,"With growing competition and an attempt to increase their sales and market share using unfair means, the manufacturers, sellers and service providers may be tempted to engage in:"
Planning,meaning and features,planning,6,3.9000000000000004,3.64,"Q.9
Which of the following is a function that brings the management cycle back
to the planning function?"
Business Environment,dimensions,types of plans,5,3.25,2.6325000000000003,_______provide useful insights to managerial behaviour and influence managerial practices.
Business Finance,financial planning,financial risk,5,3.25,2.8925,"Q.49
Read the following passage carefully and answer the given questions.
ABC Manufacturing Ltd., a mid-sized company, is planning to expand its
operations by setting up a new production facility. The financial planning
team estimates the project cost at $10 million. The company's finance
manager must decide how to fund this project and evaluate its profitability.
 
The finance team forecasts future cash flows, determining that $6 million
can be sourced internally through retained earnings. They prepare a
financial budget aligning expected inflows and outflows with the
company's goals.
 
The finance manager evaluates options for the remaining $4 million,
including issuing equity or taking a bank loan. After analyzing interest
rates and dilution of ownership, they decided to issue long-term debt at a
5% interest rate."
Business Finance,fixed capital,fixed capital,5,3.25,2.275,"Identify the incorrect statement, from the options given below:"
Consumer Protection,consumer rights,types of plans,5,3.25,1.9175,Which of the following is NOT related to the benefits of staffing?
Controlling,meaning and importance,controlling,5,3.25,3.25,Which of the following is the importance of controlling?
Organising,meaning and process,delegation,5,3.25,2.8925,Identify the correct steps involved in the process of organizing.<br><br>(A) Allotment of Duties<br><br>(B) Establishing authority and reporting relationship<br><br>(C) Departmentalization<br><br>(D) Identification and Grouping of work<br><br>Choose the correct answer from the options given below:
Organising,organisation structure,formal/informal organisation,5,3.25,2.275,"""The number of subordinates that can be effectively managed by a superior"" is referred to as:"
Principles of Management,Fayol principles,division of work,5,3.25,2.99,"The principle of division of work was given by ________.

1. Henry Fayol
2. Henry Lawrence Gantt
3. Frederick Taylor
4. Mc-Gregor"
Principles of Management,Fayol principles,unity of direction,5,3.25,2.1775,"""She tends to be biased towards female employees when it comes to resolving conflicts among employees."" Which principle is being violated here?"
Business Environment,importance of environment,types of plans,4,2.6,2.2425,Which of the following statements does NOT represent the importance of business environment?
Business Finance,financial management,price mix,4,2.6,1.755,Identify the function performed by Financial Market from the following statement: 'Holders of assets can readily sell their financial assets through the mechanism of the financial market.'
Business Finance,financial planning,financial,4,2.6,2.6,Financial Planning of a company is essentially known as ________?
Business Finance,financial planning,recruitment,4,2.6,2.6,"""Since Arun is planning to initiate the business from a small level, the quantum of inventory and debtors required is generally low."" Which factor is highlighted by the aforesaid statement?"
Business Finance,financing decision,types of plans,4,2.6,2.2425,"Q.47
Read the passage and answer the following questions:
GreenTech Solutions, a renewable energy company, focuses on achieving
financial stability and growth through robust financial management. The
company ensures efficient allocation of business finance to expand
operations, adopt new technology, and maintain a competitive edge. Its
financial planning is centered on long-term sustainability, balancing
profitability with eco-friendly initiatives.
 

--- Page 13 ---
To optimize its capital structure, GreenTech maintains a balanced mix of
debt and equity, minimizing the cost of capital while ensuring financial
flexibility. The firm undertakes thorough capital budgeting processes to
evaluate projects like setting up new solar farms, ensuring only viable
investments are pursued. Tools like Net Present Value (NPV) and Internal
Rate of Return (IRR) guide decision-making.
 
GreenTech's dividend decision aligns with its growth strategy. While
retaining a significant portion of earnings for reinvestment, the company
ensures consistent dividends to satisfy shareholders. This approach
strengthens investor confidence while funding expansion plans.
 
Efficient working capital management ensures smooth day-to-day
operations. By optimizing cash flow, managing inventory, and negotiating
favorable credit terms with suppliers, GreenTech avoids liquidity issues
while meeting short-term obligations.
 
Through prudent financial strategies, GreenTech achieves its goal of
profitability and sustainability, setting an example in the renewable energy
sector.
 
Which process evaluates the viability of long-term investment projects?"
Business Finance,investment decision,investment,4,2.6,1.885,Which of the following is an important factor to be considered in long-term investment decisions?
Business Finance,working capital,financial risk,4,2.6,2.34,Working Capital management doesn't include:
Consumer Protection,consumer rights,consumer,4,2.6,1.7225000000000001,"When a consumer fails to get his/her right protected, he/she can seek the help from a __________."
Consumer Protection,importance,financial risk,4,2.6,2.2425,"Identify the correct role of consumer organizations and NGOs played by them, for the protection and promotion of consumers' interests."
Controlling,control process,leadership style,4,2.6,1.5274999999999999,The standards of performance which serve as the basis of controlling are provided by_____
Directing,meaning and importance,types of plans,4,2.6,1.9825,"Q.4
______ can be understood as the process of guiding the efforts of employees and other resources to accomplish the desired objectives by overseeing what is being done by subordinates."
Directing,motivation,directing,4,2.6,2.34,Which of the following is not a non-financial incentive?
Entrepreneurship Development,entrepreneurship in India,entrepreneurship,4,2.6,1.7225000000000001,"Q.33
Which of the following factor is NOT responsible for emergence of
entrepreneurship?"
Entrepreneurship Development,process,entrepreneurship,4,2.6,2.6,"Entrepreneurship is dependent upon several economic, social, political, legal and other environmental factors. Careful monitoring of the environment for detecting early signs of opportunities and threats may influence current and future plans. This process is known as:"
Marketing,marketing meaning,market,4,2.6,1.2675,Identify the market that is known as Stock Exchange
Marketing,pricing,types of plans,4,2.6,2.6,What pricing strategy did Neha use?
Marketing,product,price mix,4,2.6,2.6,Which of the following is not an important factor influencing the pricing of a product?
Nature and Significance of Management,coordination,management,4,2.6,2.6,"Q.21
""The process whereby an executive develops an orderly pattern of group
efforts among his subordinates and secures unity of action in the pursuit
of a common purpose"". Identify the concept of management highlighted in
the aforesaid statement."
Nature and Significance of Management,functions of management,delegation,4,2.6,2.2425,"Coordination is the force that binds all the other functions of management. In light of this, which of the following statement is incorrect?"
Nature and Significance of Management,importance of management,management,4,2.6,2.34,"__________ in management is concerned with doing the right task, completing activities and achieving goals."
Organising,meaning and process,leadership style,4,2.6,1.56,_______ is the function of management discussed in the above passage
Principles of Management,Fayol principles,discipline,4,2.6,2.2425,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Foreman | Meaning |
| --- | --- |
| (A) Cost Clerk | (I) To ensure discipline. |
| (B) Instruction Card Clerk | (II) To specify the route of production. |
| (C) Route Clerk | (III) To prepare the cost sheet. |
| (D) Disciplinarian | (IV) To draft instructions for the workers. |

Choose the correct answer from the options given below:"
Principles of Management,Fayol principles,equity,4,2.6,2.6,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Principles | Statement |
| --- | --- |
| (A) Equity | (I) To ensure obedience to organizational rules |
| (B) Unity of direction | (II) Kindliness and justice in the behavior of managers towards workers |
| (C) Order | (III) A group of activities with common objectives must have one head and one plan |
| (D) Discipline | (IV) Every employee must be in his appointed place |

 Choose the correct answer from the options given below:"
Staffing,meaning and importance,staffing,4,2.6,2.6,Why does Infosys include human resources in its balance sheet?
Staffing,training and development,types of plans,4,2.6,2.34,"Q.29
In which method of on-the-job training, the trainee is kept under the
guidance of a master worker?"
Business Environment,importance of environment,environment,3,1.9500000000000002,1.9500000000000002,_________ system keeps a careful check on the changes taking place in the organization and in the environment and helps to review and revise the standards in light of such changes.
Business Environment,liberalisation privatisation globalisation,types of plans,3,1.9500000000000002,0.975,"""Simplifying procedures for imports and exports.""
The above statement is related to ________ concept of economic environment in India."
Business Finance,dividend decision,decision,3,1.9500000000000002,1.2349999999999999,"""Currently, Green Innovations is reinvesting its profits into growth and diversification projects. It is allocating firm's capital to different projects with long term implications for the business."". Identify the concept of financial management discussed in the aforesaid statement."
Business Finance,financial management,equity,3,1.9500000000000002,1.5925,The objective of financial management is to maximize the current price of equity shares of the company. This concept is:
Business Finance,financial management,financial risk,3,1.9500000000000002,1.5925,Identify the correct statement.
Business Finance,financial planning,capital structure,3,1.9500000000000002,1.5925,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Concept | Meaning |
| (A) Working Capital | (I) It refers to the mix between owners and borrowed funds for the sources of business finance. |
| (B) Financial Management | (II) It is essentially preparation of a financial blueprint for an organization's future operations. |
| (C) Capital Structure | (III) This investment facilitates smooth day-to-day operations of the organization. |
| (D) Financial Planning | (IV) It is concerned with optimal procurement as well as usage of finance. |

Choose the correct answer from the options given below:"
Business Finance,financing decision,equity,3,1.9500000000000002,1.2349999999999999,"The CFO of a company wants to change the capital structure of the company. Identify the factors which affect the choice of capital structure.
(A) Stock Market Condition
(B) Tax Rate
(C) Cost of Equity
(D) Level of Competition

Choose the correct answer from the options given below:"
Business Finance,investment decision,working capital,3,1.9500000000000002,1.9500000000000002,A firm is facing difficulties managing the expenses of day-to-day operations. Which decision has the company ignored here?
Controlling,control process,training,3,1.9500000000000002,1.9500000000000002,"Arrange the steps of the controlling process in a logical sequence.
(A) Corrective action might involve training of employees if the production target could not be met.
(B) Setting standards of performance
(C) Performance of a worker in terms of units produced is measured against the standard output.
(D) Critical point control and management by exception should be used in case of deviations.
Choose the correct answer from the options given below:"
Directing,communication,directing,3,1.9500000000000002,1.9500000000000002,"Which of the following are the elements of directing?

(A) Communication

(B) Motivation

(C) Supervision

(D) Compensation

Choose the correct answer from the options given below:"
Directing,communication,promotion mix,3,1.9500000000000002,1.4300000000000002,Publicity is similar to advertising in the sense that it is:
Directing,communication,scalar chain,3,1.9500000000000002,1.69,"Which of the following are the characteristics of Formal Organization?

(A) It is directed by rules.

(B) Communication takes place through the scalar chain

(C) Arises as a result of company rules and policies

(D) Leaders may or may not be managers. They are chosen by the group.

Choose the correct answer from the options given below:"
Directing,motivation,communication barriers,3,1.9500000000000002,0.975,Identify the Non Financial Incentive that give more autonomy and powers to subordinates
Entrepreneurship Development,process,process,3,1.9500000000000002,1.5925,"Q.35
Which process is referred to as the process of learning opportunities
designed to help employees grow?"
Nature and Significance of Management,features of management,entrepreneur characteristics,3,1.9500000000000002,1.9500000000000002,"Identify the features of Management as a Science.
(A) Systematised body of knowledge
(B) Universal Validity
(C) Principles based on experimentation
(D) Creativity
Choose the correct answer from the options given below:"
Organising,delegation,centralisation/decentralisation,3,1.9500000000000002,1.9500000000000002,Which of the following statements is true?
Organising,formal and informal organisation,types of plans,3,1.9500000000000002,1.82,Which of the following options are correct ?
Organising,importance,entrepreneur characteristics,3,1.9500000000000002,1.9500000000000002,"Q.12
 
 
Match List-I with List-II
List-I
List-II
Importance of
Organising
Description"
Organising,meaning and process,organising,3,1.9500000000000002,1.9500000000000002,"Arrange the following steps of organising process in a logical order. 

 (A) Grouping similar activities
 (B) Dividing the work according to the plan
 (C) Establishing clear relationships to create a hierarchal structure
 (D) Allocating work to various employees 

Choose the correct answer from the options given below:"
Organising,meaning and process,process,3,1.9500000000000002,1.9500000000000002,"Q.34
Arrange the following in the correct sequence of the organizing process."
Principles of Management,Fayol principles,financial risk,3,1.9500000000000002,1.5925,A finance manager was asked to pitch an offer to an automobile firm to buy some equity. The CEO and General Manager had different opinions on the percentage of the equity that should be acquired. The finance manager was in a dilemma and could not close the deal. Which principle is violated here?
Principles of Management,Fayol principles,principles,3,1.9500000000000002,1.9500000000000002,"Q.4
Which of the following is concerned with obtaining, utilizing and
maintaining a satisfactory and satisfied work force?"
Principles of Management,techniques of scientific management,types of plans,3,1.9500000000000002,1.4300000000000002,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| (A) Fatigue study | (I) This study refers to finding out one best way of doing the job. |
| (B) Method Study | (II) This study refers to the study of movements like lifting, putting objects, sitting and changing positions. |
| (C) Time study | (III) The objective of this study is to determine the number of workers to be employed. |
| (D) Motion Study | (IV) This study seeks to determine the amount and frequency of rest intervals in completing a task. |

Choose the correct answer from the options given below:"
Staffing,staffing process,training,3,1.9500000000000002,0.975,"Mr. Prateek, the Production Manager of Zim Ltd. has selected the right workforce for his department. He decides the following steps which he would adopt in the process of staffing. Arrange them in correct sequence

A. Performance Appraisal
B. Compensation
C. Placement and Orientation
D. Promotion and Career Planning
E. Training and development

Choose the correct answer from the options given below :"
Business Environment,dimensions,dimension,2,1.3,1.17,Under which dimension of business environment is 'Online Booking of Air Tickets' included?
Business Environment,dimensions,price mix,2,1.3,0.9425,"Match List-I with List-II

| List-I | List-II |
| --- | --- |
| Dimensions of business environment | Examples |
| (A) Social environment | (I) Smoking bans in restaurants, shopping malls and public parks can have a significant impact on business. |
| (B) Political environment | (II) Higher cost of production will tend to force prices to go up. |
| (C) Economic environment | (III) The nature of the relationship of India with its neighboring countries. |
| (D) Legal environment | (IV) A common trend is the increasing movement of young workers to cities away from rural areas. |

Choose the correct answer from the options given below:"
Business Finance,dividend decision,financial risk,2,1.3,1.3,The decision considered by the management in the above case is related to:
Business Finance,dividend decision,working capital,2,1.3,1.04,Which of the following decision is being considered by the management in the above case?
Business Finance,financial management,management,2,1.3,1.04,Which of the following is NOT related to the significance of Principles of Management?
Business Finance,working capital,fixed capital,2,1.3,1.3,"Arrange the following steps involved in the process of financial planning in logical sequence.

(A) Sales forecast is made
(B) Requirement of fixed capital and working capital is estimated
(C) Expected profits are estimated
(D) Sources of finance are identified

Choose the correct answer from the options given below:"
Consumer Protection,consumer responsibilities,consumer,2,1.3,1.3,"What action did Ritika take, after finding out that the supplement's claims were false?"
Consumer Protection,consumer responsibilities,delegation,2,1.3,1.04,Which of the following responsibility has been fulfilled by Sushma in the aforesaid case?
