canonical_question_id,importance_for_review,year,source,chapter,subtopic,micro_concept,question_type,question_pattern,difficulty_estimate,correct_option,final_confidence,micro_concept_confidence,micro_concept_note,taxonomy_mismatch,question_text,option_a,option_b,option_c,option_d,source_url
cq_000046_a912619cb6,0.6509999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Principles of Management,Principle of Authority and Responsibility,Principle of Authority and Responsibility,statement true/false,statement true/false,easy,,0.34,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Q.6
""A sales manager has to negotiate a deal with a buyer. She finds that if she
can offer a credit period of 60 days, she is likely to clinch the deal which is
supposed to fetch the company a net margin of say Rs. 50 crores. The
company entrusts her the task of clinching the deal but gives her power to
offer a credit period of only 40 days"". Identify the principle of management
violated in the aforesaid statement.",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-22-05-2025-3_00PM-6_00PM.pdf
cq_001644_d3d3f2613e,0.6509999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Entrepreneurship Development,competencies and values,entrepreneur characteristics,statement true/false,statement true/false,easy,,0.34,0.82,,false,"Q.31
Eliciting the support of others in the venture"". This statement is related to
which entrepreneurial competency?",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-16-05-2025-9_00AM-12_00PM.pdf
cq_001703_9021421468,0.6509999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Directing,supervision,leadership style,match-the-following,match-the-following,medium,,0.34,0.82,,false,"Q.40
Match List-I with List-II
List-I
List-II","Supervision (I) Process of exchange of ideas, views, facts, feelings etc",Motivation (II) Encouraging subordinates with zeal to work,Leadership (III) Direct and immediate guidance and control of subordinates,Communicatio n (IV) Guiding and influencing the work of subordinates in desired direction Choose the correct answer from the options given below:,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-13-05-2025-9_00AM-12_00PM.pdf
cq_000289_5d2ef5cc23,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Controlling,objectives of standardisation,objectives of standardisation,feature-identification,feature-identification,easy,B,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following are the objectives of standardisation in a business organisation?

(A) To reduce a given line or product to fixed types, sizes and characteristics.

(B) To establish interchange ability of manufactured parts and products.

(C) To establish standards of excellence and quality in materials.

(D) To establish standards of performance appraisal for human resources only.

Choose the correct answer from the options given below:","(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-4
cq_000054_539947ac7d,0.6499999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Directing,motivation,motivation,feature-identification,feature-identification,hard,,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,false,"Q.47
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after
the launch, the sales were not meeting expectations, and employee morale
seemed low.
 
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
 
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any conflicts. Her presence ensured that tasks were
completed on time and in alignment with the company’s objectives. She
also provided feedback and recognized the efforts of team members, which
boosted their morale.
 
Rahul implemented a reward system where employees exceeding their
targets would receive incentives. Additionally, training sessions were
organized to improve employees’ skills and confidence in handling the
advanced features of the new product.
What motivational tool did Rahul implement?",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf
cq_000328_827e645e73,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Nature and Significance of Management,social objective,social objective,case-study diagnosis,case-study diagnosis,hard,C,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"""She is always involved in helping poor women of the area by providing them with jobs after imparting necessary skills"". Which objective of management is reflected in this statement?",Personal objective,Organisational objective,Social objective,Administrative objective,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-4
cq_000331_5db5e4b926,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Production and Operations Management,Economies of Scale,Economies of Scale,case-study diagnosis,case-study diagnosis,hard,D,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"""Slowly the business is growing as the number of orders are increasing, and the production cost is declining."" Which of the following concept is causing the decrease in production cost here?",Economies of Sale,Economies of Production,Economies of Scope,Economies of Scale,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-4
cq_000885_e125c094fa,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Business Finance,Project Appraisal,Project Appraisal,definition-based,definition-based,easy,B,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following are the components of feasibility analysis?
(A) Economic Analysis
(B) Technical Analysis
(C) Financial Analysis
(D) Personal Analysis

Choose the correct answer from the options given below:","(A), (B) and (D) only","(A), (B) and (C) only","(A), (C) and (D) only","(B), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-16
cq_000294_e2e329f26c,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Entrepreneurship,Motivation for Entrepreneurship,Motivation for Entrepreneurship,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Identify the internal factor that motivates a person to become an entrepreneur.,Passion,Availability of raw material,Demand of the product,Government assistance and support,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-4
cq_000454_4d787abcfa,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Directing,principles of directing,principles of directing,feature-identification,feature-identification,easy,D,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Which of the following is not the principle of directing?,Unity of command,Harmony of objectives,Leadership,Corrective action,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-7
cq_000144_d4153814d3,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Nature and Significance of Management,features of a profession,features of a profession,feature-identification,feature-identification,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following are identified as features of a profession?
(A) Well-defined body of knowledge
(B) Existence of theoretical knowledge
(C) Entry restricted on the basis of examination or education
(D) Dominance of service motive

Choose the correct answer from the options given below:","(A), (C) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-1
cq_000135_97ce943ede,0.6499999999999999,2025,Dubuddy CUET Business Studies solved papers linked file,Directing,supervision,supervision,feature-identification,feature-identification,hard,,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,false,"Q.50
Rahul is the CEO of BrightSpark Ltd., a company manufacturing LED
lighting solutions. The company recently launched a new line of smart LED
bulbs with advanced features, expecting a surge in demand. However, after

--- Page 14 ---
the launch, the sales were not meeting expectations, and employee morale
seemed low.
Firstly, Rahul identified that there was a lack of proper communication
between the marketing and production teams. He called a meeting to
clearly communicate the company’s goals and expectations for the new
product.
Rahul appointed Priya, a senior manager, to act as a supervisor for the
marketing team. Priya’s job was to oversee day-to-day activities, guide the
team, and resolve any conflicts. Her presence ensured that tasks were
completed on time and in alignment with the company’s objectives. She
also provided feedback and recognized the efforts of team members, which
boosted their morale.
Rahul implemented a reward system where employees exceeding their
targets would receive incentives. Additionally, training sessions were
organized to improve employees’ skills and confidence in handling the
advanced features of the new product.
""Priya's job was to oversee day-to-day activities, guide the team, and
resolve any conflicts."" Which element of directing is highlighted in these
lines?",,,,,https://dubuddy.in/files/pdfs/cuet-previous-year-papers/business-studies/2025/shift-27-05-2025-3_00PM-6_00PM.pdf
cq_000620_ad71cee08b,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Nature and Significance of Management,dimensions of management,dimensions of management,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Management is a complex and multi dimensional activity that has three main dimensions. Identify, from the options given below, which is NOT included in the three dimensions.",Management of Public,Management of People,Management of Work,Management of Operations,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-10
cq_000213_453e668db5,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Consumer Protection,consumer products,consumer products,definition-based,definition-based,easy,C,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Which of the following is a consumer product?,Tyres purchased by a tyre manufacturing company,Wheat flour purchased by Pizza making company,Pen purchased by a shopkeeper for his personal daily use,Mustard oil purchased by a restaurant,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-2
cq_000211_1e8a4fe8ec,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Financial Management,Profitability Ratios,Profitability Ratios,definition-based,definition-based,easy,B,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,What is the full form of EBIT?,Earning Before Income Tax,Earning Before Interest and Tax,Expense Before Income and Tax,Expenses Before Interest and Tax,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-2
cq_000255_41cec094d3,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Marketing,competition and response strategies,competition and response strategies,statement true/false,statement true/false,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"If an Indian firm finds that a foreign multinational is entering the Indian market with new substitutes, it can prepare itself to meet the threat by adopting which of the following measures:

(A) Improving the quality of the products
(B) Reducing cost of production
(C) Engaging in aggressive advertising and making false claims
(D) Upgrading technology

Choose the correct answer from the options given below:","(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-3
cq_000761_395f387de5,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Functions of Management,Staffing,Staffing,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following is concerned with obtaining, utilizing and maintaining a satisfactory and satisfied work force?",Staffing,Controlling,Directing,Planning,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-13
cq_000217_7fd87c158c,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Planning,Budgeting,Budgeting,feature-identification,feature-identification,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following are important features of the 'Budget'?

(A) The budget is a single-use plan containing expected results in theoretical terms only.

(B) Budgets may be expressed in terms of time, materials or other suitable units capable of numerical expression.

(C) The budget is a plan which quantifies future facts and figures.

(D) The budget projects the expected revenues and expenses for a given period.

Choose the correct answer from the options given below:","(B), (C) and (D) only","(A), (B) and (C) only","(A), (B) and (D) only","(A), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-2
cq_000515_af6f267819,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Nature and Significance of Management,features of management as an art,features of management as an art,feature-identification,feature-identification,easy,D,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Which of the following is not a feature of management as an art?,Based on practice and creativity,Personalised application,Existence of theoretical knowledge,Restricted entry,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-8
cq_000946_aa0bb61b2f,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Entrepreneurship Development,functions of an entrepreneur,functions of an entrepreneur,feature-identification,feature-identification,easy,B,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following is not the function of an entrepreneur?

<ol>
<li>Impact on local communities</li>
<li>Decrease the spectrum of economic activities</li>
<li>Generation of employment</li>
<li>Improvement in economic efficiency</li>
</ol>",1,2,3,4,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-17
cq_000916_394fa288cd,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Nature and Significance of Management,Organizational Structure and Communication Networks,Organizational Structure and Communication Networks,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Which of the following network allows a subordinate to communicate with his superior and his superior's superior?,Inverted V,Free Rein,Circular,Wheel,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-16
cq_000771_5682d74405,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Marketing,product classification,product classification,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following are classified as Consumer Products on the basis of shopping efforts involved?
(A) Shopping Products
(B) Specialty Products
(C) Capital items
(D) Convenience Products

Choose the correct answer from the options given below:","(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-13
cq_000801_0110df0efc,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Financial Management,Current Assets,Current Assets,definition-based,definition-based,easy,D,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Identify the asset which can be easily converted into cash.,Building,Machinery,Furniture,Marketable securities,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-14
cq_000456_287f14e864,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Nature and Significance of Management,decentralization,decentralization,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,"Which of the following are the advantages of decentralization?
(A) It facilitates quick decisions and improves the quality of the decisions.
(B) It provides actual work experience to a large number of middle and lower managers.
(C) It ensures strict control at all levels.
(D) Provides relief to top management.
Choose the correct answer from the options given below:","(A), (B) and (D) only","(A), (B) and (C) only","(A), (B), (C) and (D)","(B), (C) and (D) only",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-7
cq_000930_75208713d0,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Marketing,Promotion Mix,Promotion Mix,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,What promotional tool was extensively used?,Social media influencers,TV commercials,Billboards,Newspaper advertisements,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-16
cq_000194_f9cdbf97f5,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Marketing,marketing management philosophies,marketing,definition-based,definition-based,easy,D,0.35,0.82,,false,The Concept of Staffing is about:,"Relationships between people, work and resources",External customers,Suppliers,Employees,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-2
cq_001083_8c3a69dcee,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Physical Distribution,Functions of Physical Distribution,Functions of Physical Distribution,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Which of the following components are important activities involved in physical distribution?,"Transportation, Warehousing, Order processing, and Inventory Control","Transportation, Labeling, Material Handling, and Inventory Control","Transportation, Branding, Material Handling, and Inventory Control","Transportation, Packaging, Material Handling, and Inventory Control",https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-20
cq_001028_bfb1048d77,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Marketing,Pricing,price mix,chronology/process order,chronology/process order,medium,B,0.35,0.82,,false,"""The company charges low prices compared to their competitors in the market. This is done by the company to capture market share."" Identify the pricing objective adopted by the company in the aforesaid statement.",Attaining product quality leadership,Obtaining market share leadership,Surviving in the competitive market,Attaining large scale production leadership,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-18
cq_000206_c92585d6c0,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Principles of Management,environmental scanning techniques,environmental scanning techniques,definition-based,definition-based,easy,B,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Which of the following techniques is not used for environmental scanning?,SWOT Analysis,Budgetary Analysis,PESTAL Analysis,Industry Analysis,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-2
cq_000737_f49de07d7f,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Staffing,Compensation and Benefits,Compensation and Benefits,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Identify the types of direct financial payment from the options given below?,Time based or Performance based,Compensation or Salary,Wages or Salary,Wages or Compensation,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-13
cq_000212_a0c4e5df8a,0.6499999999999999,2025,AfterBoards CUET Business Studies PYQs linked file,Business Finance,Owners' Funds,Owners' Funds,definition-based,definition-based,easy,A,0.35,0.45,Micro-concept uncertain; trust chapter/subtopic more.,true,Which of the following cannot be termed as owners' funds?,Debenture,Equity,Retained earning,Reserves and surplus,https://www.afterboards.in/past-year-questions/cuet-business-studies/2025/slot-2
